delivery_key,delivery_id,order_key,order_id,promised_delivery_date,actual_delivery_date,transport_cost,delivery_status,order_date,quantity,order_value,order_status,warehouse_key,warehouse_id,warehouse_name,warehouse_country,warehouse_capacity,carrier_key,carrier_id,carrier_name,carrier_service_level,dq_flag_missing_transport_cost,dq_flag_invalid_delivery_date,delivery_variance_days
27,D0000027,27,O0000027,2025-07-20,2025-07-18,71.89,Delivered,2025-07-12,11,534.71,Delivered,11,W11,Warehouse 11,Germany,5748,13,T13,Carrier 13,Standard,false,false,-2
28,D0000028,28,O0000028,2025-10-06,2025-10-03,55.69,Delivered,2025-09-27,31,334.49,Delivered,9,W09,Warehouse 09,Spain,10336,1,T01,Carrier 01,Premium,false,false,-3
29,D0000029,29,O0000029,2025-06-11,2025-06-09,56.98,Delivered,2025-06-04,37,705.59,Delivered,4,W04,Warehouse 04,France,17137,7,T07,Carrier 07,Standard,false,false,-2
30,D0000030,30,O0000030,2025-12-11,2025-12-09,55.29,Delivered,2025-12-04,26,415.74,Delivered,10,W10,Warehouse 10,Germany,24023,11,T11,Carrier 11,Standard,false,false,-2
31,D0000031,31,O0000031,2025-09-06,2025-09-03,258.0,Delivered,2025-08-30,46,2443.06,Delivered,6,W06,Warehouse 06,Italy,23070,14,T14,Carrier 14,Premium,false,false,-3
32,D0000032,32,O0000032,2025-01-21,2025-01-18,67.49,Delivered,2025-01-13,30,516.6,Delivered,6,W06,Warehouse 06,Italy,23070,15,T15,Carrier 15,Express,false,false,-3
33,D0000033,33,O0000033,2025-07-23,2025-07-20,29.49,In Transit,2025-07-17,12,90.84,In Transit,3,W03,Warehouse 03,Brazil,15843,14,T14,Carrier 14,Premium,false,false,-3
34,D0000034,34,O0000034,2025-05-26,2025-05-26,64.47,Delivered,2025-05-21,41,837.22,Delivered,4,W04,Warehouse 04,France,17137,9,T09,Carrier 09,Premium,false,false,0
35,D0000035,35,O0000035,2025-02-21,2025-02-23,294.43,Delivered,2025-02-18,32,2481.28,Delivered,5,W05,Warehouse 05,Spain,25643,7,T07,Carrier 07,Standard,false,false,2
36,D0000036,36,O0000036,2025-12-18,2025-12-28,63.37,Delivered,2025-12-13,11,458.26,Delivered,2,W02,Warehouse 02,Spain,27715,8,T08,Carrier 08,Standard,false,false,10
37,D0000037,37,O0000037,2025-03-28,2025-03-29,36.9,Delivered,2025-03-23,27,401.22,Delivered,4,W04,Warehouse 04,France,17137,11,T11,Carrier 11,Standard,false,false,1
38,D0000038,38,O0000038,2025-02-08,2025-02-14,118.08,Delivered,2025-01-31,32,1089.92,Delivered,2,W02,Warehouse 02,Spain,27715,10,T10,Carrier 10,Express,false,false,6
39,D0000039,39,O0000039,2025-04-01,2025-04-05,36.31,Delivered,2025-03-23,5,183.3,Delivered,1,W01,Warehouse 01,Germany,20207,6,T06,Carrier 06,Standard,false,false,4
40,D0000040,40,O0000040,2025-11-07,2025-11-02,27.77,Delivered,2025-10-28,19,180.88,Delivered,5,W05,Warehouse 05,Spain,25643,7,T07,Carrier 07,Standard,false,false,-5
41,D0000041,41,O0000041,2025-08-15,2025-08-17,98.91,Delivered,2025-08-07,48,847.2,Delivered,5,W05,Warehouse 05,Spain,25643,7,T07,Carrier 07,Standard,false,false,2
42,D0000042,42,O0000042,2025-10-30,2025-10-28,77.66,Delivered,2025-10-27,38,832.2,Delivered,3,W03,Warehouse 03,Brazil,15843,7,T07,Carrier 07,Standard,false,false,-2
43,D0000043,43,O0000043,2025-06-21,2025-06-20,80.94,Delivered,2025-06-18,9,540.09,Delivered,5,W05,Warehouse 05,Spain,25643,11,T11,Carrier 11,Standard,false,false,-1
44,D0000044,44,O0000044,2025-02-16,2025-02-16,175.15,Delivered,2025-02-12,49,1249.5,Delivered,8,W08,Warehouse 08,Italy,18100,2,T02,Carrier 02,Premium,false,false,0
45,D0000045,45,O0000045,2025-05-31,2025-06-01,84.98,Delivered,2025-05-22,39,747.63,Delivered,8,W08,Warehouse 08,Italy,18100,7,T07,Carrier 07,Standard,false,false,1
46,D0000046,46,O0000046,2025-03-22,2025-03-24,34.71,In Transit,2025-03-14,6,161.94,In Transit,8,W08,Warehouse 08,Italy,18100,2,T02,Carrier 02,Premium,false,false,2
47,D0000047,47,O0000047,2025-07-28,2025-07-24,30.9,Delivered,2025-07-23,3,42.39,Delivered,4,W04,Warehouse 04,France,17137,15,T15,Carrier 15,Express,false,false,-4
48,D0000048,48,O0000048,2025-04-17,2025-04-18,415.03,Delivered,2025-04-09,48,4219.68,Delivered,6,W06,Warehouse 06,Italy,23070,7,T07,Carrier 07,Standard,false,false,1
49,D0000049,49,O0000049,2025-12-27,2026-01-01,62.37,In Transit,2025-12-21,18,425.52,In Transit,10,W10,Warehouse 10,Germany,24023,10,T10,Carrier 10,Express,false,false,5
50,D0000050,50,O0000050,2025-05-25,2025-05-24,58.11,Delivered,2025-05-18,20,652.4,Delivered,7,W07,Warehouse 07,Netherlands,10019,8,T08,Carrier 08,Standard,false,false,-1
51,D0000051,51,O0000051,2025-04-29,2025-04-28,76.73,Delivered,2025-04-25,28,529.2,Delivered,12,W12,Warehouse 12,Netherlands,25674,12,T12,Carrier 12,Premium,false,false,-1
52,D0000052,52,O0000052,2026-01-05,2026-01-07,26.22,Delivered,2025-12-26,13,150.8,Delivered,4,W04,Warehouse 04,France,17137,7,T07,Carrier 07,Standard,false,false,2
53,D0000053,53,O0000053,2025-07-12,2025-07-15,218.71,Delivered,2025-07-09,47,1724.43,Delivered,1,W01,Warehouse 01,Germany,20207,10,T10,Carrier 10,Express,false,false,3
54,D0000054,54,O0000054,2025-03-08,2025-03-09,132.69,In Transit,2025-03-04,42,988.26,In Transit,10,W10,Warehouse 10,Germany,24023,12,T12,Carrier 12,Premium,false,false,1
55,D0000055,55,O0000055,2025-07-03,2025-06-28,148.95,Cancelled,2025-06-25,50,1449.0,Cancelled,2,W02,Warehouse 02,Spain,27715,9,T09,Carrier 09,Premium,false,false,-5
56,D0000056,56,O0000056,2025-04-06,2025-04-05,32.0,Cancelled,2025-04-03,12,227.52,Cancelled,3,W03,Warehouse 03,Brazil,15843,8,T08,Carrier 08,Standard,false,false,-1
57,D0000057,57,O0000057,2025-09-23,2025-09-20,59.72,In Transit,2025-09-19,27,496.53,In Transit,11,W11,Warehouse 11,Germany,5748,15,T15,Carrier 15,Express,false,false,-3
58,D0000058,58,O0000058,2025-08-05,2025-08-11,197.23,Cancelled,2025-07-29,44,1695.32,Cancelled,9,W09,Warehouse 09,Spain,10336,8,T08,Carrier 08,Standard,false,false,6
59,D0000059,59,O0000059,2025-10-01,2025-10-05,101.56,Cancelled,2025-09-24,20,716.2,Cancelled,10,W10,Warehouse 10,Germany,24023,12,T12,Carrier 12,Premium,false,false,4
60,D0000060,60,O0000060,2025-12-14,2025-12-21,26.4,Delivered,2025-12-10,3,70.59,Delivered,2,W02,Warehouse 02,Spain,27715,5,T05,Carrier 05,Express,false,false,7
61,D0000061,61,O0000061,2025-09-30,2025-10-08,110.28,Delivered,2025-09-24,27,653.13,Delivered,7,W07,Warehouse 07,Netherlands,10019,1,T01,Carrier 01,Premium,false,false,8
62,D0000062,62,O0000062,2025-05-14,2025-05-14,176.11,Delivered,2025-05-05,16,1624.0,Delivered,4,W04,Warehouse 04,France,17137,7,T07,Carrier 07,Standard,false,false,0
63,D0000063,63,O0000063,2025-03-23,2025-03-22,41.89,Cancelled,2025-03-15,37,251.23,Cancelled,2,W02,Warehouse 02,Spain,27715,5,T05,Carrier 05,Express,false,false,-1
64,D0000064,64,O0000064,2025-07-19,2025-07-21,117.77,Cancelled,2025-07-13,35,892.5,Cancelled,2,W02,Warehouse 02,Spain,27715,8,T08,Carrier 08,Standard,false,false,2
65,D0000065,65,O0000065,2025-06-20,2025-06-22,77.61,Delivered,2025-06-13,25,415.5,Delivered,7,W07,Warehouse 07,Netherlands,10019,13,T13,Carrier 13,Standard,false,false,2
66,D0000066,66,O0000066,2025-04-30,2025-05-09,31.74,Delivered,2025-04-25,16,151.2,Delivered,6,W06,Warehouse 06,Italy,23070,15,T15,Carrier 15,Express,false,false,9
67,D0000067,67,O0000067,2025-11-01,2025-10-31,81.22,Delivered,2025-10-24,47,984.18,Delivered,5,W05,Warehouse 05,Spain,25643,13,T13,Carrier 13,Standard,false,false,-1
68,D0000068,68,O0000068,2025-12-08,2025-11-29,28.17,Delivered,2025-11-28,3,52.11,Delivered,7,W07,Warehouse 07,Netherlands,10019,8,T08,Carrier 08,Standard,false,false,-9
69,D0000069,69,O0000069,2025-05-23,2025-05-25,35.79,Delivered,2025-05-20,9,217.71,Delivered,10,W10,Warehouse 10,Germany,24023,2,T02,Carrier 02,Premium,false,false,2
70,D0000070,70,O0000070,2025-09-15,2025-09-14,56.22,In Transit,2025-09-06,50,646.5,In Transit,9,W09,Warehouse 09,Spain,10336,12,T12,Carrier 12,Premium,false,false,-1
71,D0000071,71,O0000071,2026-01-05,2025-12-28,147.57,Delivered,2025-12-26,41,1285.76,Delivered,11,W11,Warehouse 11,Germany,5748,3,T03,Carrier 03,Standard,false,false,-8
72,D0000072,72,O0000072,2025-01-13,2025-01-07,81.91,Delivered,2025-01-05,36,753.84,Delivered,8,W08,Warehouse 08,Italy,18100,13,T13,Carrier 13,Standard,false,false,-6
73,D0000073,73,O0000073,2025-05-22,2025-05-26,104.52,Delivered,2025-05-14,29,846.22,Delivered,11,W11,Warehouse 11,Germany,5748,10,T10,Carrier 10,Express,false,false,4
74,D0000074,74,O0000074,2025-10-01,2025-10-04,42.3,Delivered,2025-09-27,4,106.32,Delivered,10,W10,Warehouse 10,Germany,24023,9,T09,Carrier 09,Premium,false,false,3
75,D0000075,75,O0000075,2025-07-11,2025-07-14,142.5,Delivered,2025-07-01,49,1419.53,Delivered,1,W01,Warehouse 01,Germany,20207,6,T06,Carrier 06,Standard,false,false,3
76,D0000076,76,O0000076,2025-10-25,2025-10-28,108.92,Delivered,2025-10-17,22,730.4,Delivered,3,W03,Warehouse 03,Brazil,15843,7,T07,Carrier 07,Standard,false,false,3
77,D0000077,77,O0000077,2025-07-02,2025-07-07,51.24,Delivered,2025-06-23,17,460.02,Delivered,7,W07,Warehouse 07,Netherlands,10019,15,T15,Carrier 15,Express,false,false,5
78,D0000078,78,O0000078,2025-01-29,2025-01-26,91.57,In Transit,2025-01-24,25,1033.5,In Transit,2,W02,Warehouse 02,Spain,27715,11,T11,Carrier 11,Standard,false,false,-3
79,D0000079,79,O0000079,2025-06-11,2025-06-23,67.24,Delivered,2025-06-08,44,1051.6,Delivered,12,W12,Warehouse 12,Netherlands,25674,14,T14,Carrier 14,Premium,false,false,12
80,D0000080,80,O0000080,2025-06-02,2025-06-01,256.47,Cancelled,2025-05-28,49,2789.57,Cancelled,8,W08,Warehouse 08,Italy,18100,6,T06,Carrier 06,Standard,false,false,-1
81,D0000081,81,O0000081,2025-11-09,2025-11-10,70.42,Delivered,2025-11-05,42,921.48,Delivered,8,W08,Warehouse 08,Italy,18100,11,T11,Carrier 11,Standard,false,false,1
82,D0000082,82,O0000082,2025-03-01,2025-03-01,49.23,Delivered,2025-02-23,11,513.15,Delivered,5,W05,Warehouse 05,Spain,25643,15,T15,Carrier 15,Express,false,false,0
83,D0000083,83,O0000083,2025-03-05,2025-03-01,245.68,Delivered,2025-02-26,34,2127.04,Delivered,5,W05,Warehouse 05,Spain,25643,10,T10,Carrier 10,Express,false,false,-4
84,D0000084,84,O0000084,2025-03-02,2025-02-23,185.24,Delivered,2025-02-21,32,1838.72,Delivered,3,W03,Warehouse 03,Brazil,15843,4,T04,Carrier 04,Express,false,false,-7
85,D0000085,85,O0000085,2025-08-02,2025-08-08,59.45,Delivered,2025-07-27,48,969.12,Delivered,10,W10,Warehouse 10,Germany,24023,1,T01,Carrier 01,Premium,false,false,6
86,D0000086,86,O0000086,2026-01-09,2026-01-04,39.47,Delivered,2025-12-30,10,192.6,Delivered,8,W08,Warehouse 08,Italy,18100,2,T02,Carrier 02,Premium,false,false,-5
87,D0000087,87,O0000087,2025-08-17,2025-08-16,40.14,Delivered,2025-08-14,12,291.12,Delivered,4,W04,Warehouse 04,France,17137,6,T06,Carrier 06,Standard,false,false,-1
88,D0000088,88,O0000088,2025-10-31,2025-11-09,49.33,Delivered,2025-10-25,42,537.18,Delivered,3,W03,Warehouse 03,Brazil,15843,4,T04,Carrier 04,Express,false,false,9
89,D0000089,89,O0000089,2025-11-13,2025-11-17,28.76,Delivered,2025-11-07,7,132.16,Delivered,8,W08,Warehouse 08,Italy,18100,11,T11,Carrier 11,Standard,false,false,4
90,D0000090,90,O0000090,2025-08-15,2025-08-21,96.36,Delivered,2025-08-08,42,971.04,Delivered,2,W02,Warehouse 02,Spain,27715,6,T06,Carrier 06,Standard,false,false,6
91,D0000091,91,O0000091,2025-08-17,2025-08-24,220.43,Delivered,2025-08-11,47,2920.58,Delivered,7,W07,Warehouse 07,Netherlands,10019,7,T07,Carrier 07,Standard,false,false,7
92,D0000092,92,O0000092,2025-04-09,2025-04-02,599.46,Delivered,2025-03-30,43,5080.02,Delivered,8,W08,Warehouse 08,Italy,18100,4,T04,Carrier 04,Express,false,false,-7
93,D0000093,93,O0000093,2025-12-23,2025-12-19,31.11,Delivered,2025-12-17,12,230.04,Delivered,1,W01,Warehouse 01,Germany,20207,15,T15,Carrier 15,Express,false,false,-4
94,D0000094,94,O0000094,2025-10-21,2025-10-25,103.77,Delivered,2025-10-15,49,877.59,Delivered,6,W06,Warehouse 06,Italy,23070,1,T01,Carrier 01,Premium,false,false,4
95,D0000095,95,O0000095,2025-11-21,2025-11-20,61.64,Delivered,2025-11-15,40,584.4,Delivered,10,W10,Warehouse 10,Germany,24023,8,T08,Carrier 08,Standard,false,false,-1
96,D0000096,96,O0000096,2026-01-04,2026-01-08,213.27,Delivered,2025-12-26,23,1598.04,Delivered,2,W02,Warehouse 02,Spain,27715,6,T06,Carrier 06,Standard,false,false,4
97,D0000097,97,O0000097,2025-05-14,2025-05-11,156.97,Delivered,2025-05-08,36,1289.16,Delivered,3,W03,Warehouse 03,Brazil,15843,10,T10,Carrier 10,Express,false,false,-3
98,D0000098,98,O0000098,2025-02-26,2025-03-02,124.8,Delivered,2025-02-22,41,1480.92,Delivered,9,W09,Warehouse 09,Spain,10336,8,T08,Carrier 08,Standard,false,false,4
99,D0000099,99,O0000099,2025-11-19,2025-11-20,82.39,In Transit,2025-11-10,23,526.93,In Transit,12,W12,Warehouse 12,Netherlands,25674,3,T03,Carrier 03,Standard,false,false,1
100,D0000100,100,O0000100,2025-06-29,2025-06-27,233.92,In Transit,2025-06-22,41,2333.72,In Transit,5,W05,Warehouse 05,Spain,25643,15,T15,Carrier 15,Express,false,false,-2
101,D0000101,101,O0000101,2025-12-24,2025-12-26,49.67,Delivered,2025-12-16,28,770.28,Delivered,9,W09,Warehouse 09,Spain,10336,7,T07,Carrier 07,Standard,false,false,2
102,D0000102,102,O0000102,2025-09-19,2025-09-18,80.56,Delivered,2025-09-11,39,601.77,Delivered,8,W08,Warehouse 08,Italy,18100,1,T01,Carrier 01,Premium,false,false,-1
103,D0000103,103,O0000103,2025-04-10,2025-04-18,107.08,In Transit,2025-04-04,43,1190.24,In Transit,10,W10,Warehouse 10,Germany,24023,4,T04,Carrier 04,Express,false,false,8
104,D0000104,104,O0000104,2025-05-17,2025-05-20,158.38,Delivered,2025-05-10,48,1322.88,Delivered,11,W11,Warehouse 11,Germany,5748,12,T12,Carrier 12,Premium,false,false,3
105,D0000105,105,O0000105,2025-08-15,2025-08-13,51.27,Delivered,2025-08-11,14,336.0,Delivered,10,W10,Warehouse 10,Germany,24023,12,T12,Carrier 12,Premium,false,false,-2
106,D0000106,106,O0000106,2025-05-30,2025-05-29,56.15,Delivered,2025-05-24,50,758.0,Delivered,2,W02,Warehouse 02,Spain,27715,1,T01,Carrier 01,Premium,false,false,-1
107,D0000107,107,O0000107,2025-04-21,2025-04-25,41.95,Delivered,2025-04-13,25,191.0,Delivered,1,W01,Warehouse 01,Germany,20207,14,T14,Carrier 14,Premium,false,false,4
108,D0000108,108,O0000108,2025-03-24,2025-03-29,39.85,Delivered,2025-03-18,22,293.7,Delivered,10,W10,Warehouse 10,Germany,24023,7,T07,Carrier 07,Standard,false,false,5
109,D0000109,109,O0000109,2025-08-29,2025-09-02,65.11,Delivered,2025-08-26,37,723.35,Delivered,12,W12,Warehouse 12,Netherlands,25674,7,T07,Carrier 07,Standard,false,false,4
110,D0000110,110,O0000110,2025-01-23,2025-01-21,67.99,Delivered,2025-01-13,34,742.9,Delivered,4,W04,Warehouse 04,France,17137,2,T02,Carrier 02,Premium,false,false,-2
111,D0000111,111,O0000111,2025-02-10,2025-02-11,85.7,Delivered,2025-02-04,49,675.22,Delivered,10,W10,Warehouse 10,Germany,24023,3,T03,Carrier 03,Standard,false,false,1
112,D0000112,112,O0000112,2025-01-25,2025-01-28,124.18,Delivered,2025-01-16,23,858.59,Delivered,1,W01,Warehouse 01,Germany,20207,7,T07,Carrier 07,Standard,false,false,3
113,D0000113,113,O0000113,2025-09-30,2025-09-30,202.45,Delivered,2025-09-25,32,2481.28,Delivered,11,W11,Warehouse 11,Germany,5748,1,T01,Carrier 01,Premium,false,false,0
114,D0000114,114,O0000114,2025-01-18,2025-01-14,42.96,In Transit,2025-01-11,24,410.64,In Transit,10,W10,Warehouse 10,Germany,24023,11,T11,Carrier 11,Standard,false,false,-4
115,D0000115,115,O0000115,2025-06-11,2025-06-11,32.33,Delivered,2025-06-03,14,146.86,Delivered,8,W08,Warehouse 08,Italy,18100,5,T05,Carrier 05,Express,false,false,0
116,D0000116,116,O0000116,2025-02-24,2025-02-15,76.48,Delivered,2025-02-14,8,447.52,Delivered,4,W04,Warehouse 04,France,17137,11,T11,Carrier 11,Standard,false,false,-9
117,D0000117,117,O0000117,2025-08-09,2025-08-11,79.52,Cancelled,2025-08-03,12,560.52,Cancelled,10,W10,Warehouse 10,Germany,24023,14,T14,Carrier 14,Premium,false,false,2
118,D0000118,118,O0000118,2025-01-20,2025-01-26,105.14,Cancelled,2025-01-13,45,1337.85,Cancelled,5,W05,Warehouse 05,Spain,25643,4,T04,Carrier 04,Express,false,false,6
119,D0000119,119,O0000119,2025-01-14,2025-01-20,32.68,Delivered,2025-01-10,4,83.28,Delivered,12,W12,Warehouse 12,Netherlands,25674,5,T05,Carrier 05,Express,false,false,6
120,D0000120,120,O0000120,2025-06-04,2025-06-09,44.03,Cancelled,2025-05-31,30,688.2,Cancelled,5,W05,Warehouse 05,Spain,25643,15,T15,Carrier 15,Express,false,false,5
121,D0000121,121,O0000121,2025-09-20,2025-09-26,36.04,Delivered,2025-09-11,32,323.2,Delivered,4,W04,Warehouse 04,France,17137,10,T10,Carrier 10,Express,false,false,6
122,D0000122,122,O0000122,2025-02-18,2025-02-16,120.82,Cancelled,2025-02-10,21,818.16,Cancelled,6,W06,Warehouse 06,Italy,23070,8,T08,Carrier 08,Standard,false,false,-2
123,D0000123,123,O0000123,2025-07-09,2025-07-10,70.65,Delivered,2025-07-01,35,529.55,Delivered,11,W11,Warehouse 11,Germany,5748,8,T08,Carrier 08,Standard,false,false,1
124,D0000124,124,O0000124,2025-11-02,2025-10-26,229.96,Delivered,2025-10-23,36,2321.64,Delivered,1,W01,Warehouse 01,Germany,20207,1,T01,Carrier 01,Premium,false,false,-7
125,D0000125,125,O0000125,2025-08-22,2025-08-22,58.45,Delivered,2025-08-17,23,503.24,Delivered,3,W03,Warehouse 03,Brazil,15843,4,T04,Carrier 04,Express,false,false,0
126,D0000126,126,O0000126,2025-10-08,2025-10-12,49.73,In Transit,2025-10-01,14,770.7,In Transit,2,W02,Warehouse 02,Spain,27715,12,T12,Carrier 12,Premium,false,false,4
127,D0000127,127,O0000127,2025-05-06,2025-04-28,187.52,Delivered,2025-04-26,46,2966.54,Delivered,6,W06,Warehouse 06,Italy,23070,15,T15,Carrier 15,Express,false,false,-8
128,D0000128,128,O0000128,2025-12-16,2025-12-13,62.51,In Transit,2025-12-10,11,456.39,In Transit,9,W09,Warehouse 09,Spain,10336,2,T02,Carrier 02,Premium,false,false,-3
129,D0000129,129,O0000129,2025-03-01,2025-03-04,93.34,Delivered,2025-02-23,41,858.54,Delivered,8,W08,Warehouse 08,Italy,18100,3,T03,Carrier 03,Standard,false,false,3
130,D0000130,130,O0000130,2025-08-15,2025-08-19,66.31,Delivered,2025-08-09,19,618.83,Delivered,11,W11,Warehouse 11,Germany,5748,4,T04,Carrier 04,Express,false,false,4
131,D0000131,131,O0000131,2025-06-12,2025-06-09,36.3,Delivered,2025-06-08,3,114.72,Delivered,1,W01,Warehouse 01,Germany,20207,2,T02,Carrier 02,Premium,false,false,-3
132,D0000132,132,O0000132,2025-01-22,2025-01-21,18.14,Delivered,2025-01-12,1,30.04,Delivered,9,W09,Warehouse 09,Spain,10336,2,T02,Carrier 02,Premium,false,false,-1
133,D0000133,133,O0000133,2025-12-18,2025-12-24,125.47,Delivered,2025-12-11,44,1695.32,Delivered,11,W11,Warehouse 11,Germany,5748,15,T15,Carrier 15,Express,false,false,6
134,D0000134,134,O0000134,2025-09-24,2025-09-26,22.5,In Transit,2025-09-14,5,84.2,In Transit,9,W09,Warehouse 09,Spain,10336,5,T05,Carrier 05,Express,false,false,2
135,D0000135,135,O0000135,2025-04-03,2025-03-27,52.55,Delivered,2025-03-25,13,365.3,Delivered,4,W04,Warehouse 04,France,17137,6,T06,Carrier 06,Standard,false,false,-7
136,D0000136,136,O0000136,2025-01-23,2025-02-01,49.96,Delivered,2025-01-20,13,249.34,Delivered,11,W11,Warehouse 11,Germany,5748,8,T08,Carrier 08,Standard,false,false,9
137,D0000137,137,O0000137,2025-09-13,2025-09-15,19.05,Delivered,2025-09-04,2,49.52,Delivered,8,W08,Warehouse 08,Italy,18100,12,T12,Carrier 12,Premium,false,false,2
138,D0000138,138,O0000138,2025-07-28,2025-07-24,63.34,Delivered,2025-07-18,38,628.52,Delivered,10,W10,Warehouse 10,Germany,24023,6,T06,Carrier 06,Standard,false,false,-4
139,D0000139,139,O0000139,2025-01-27,2025-01-26,245.81,Delivered,2025-01-19,35,2055.55,Delivered,4,W04,Warehouse 04,France,17137,15,T15,Carrier 15,Express,false,false,-1
