customer_id,customer_name,country,segment
C00107,Customer 00107,Italy,Wholesale
C00108,Customer 00108,Spain,Retail
C00109,Customer 00109,France,Wholesale
C00110,Customer 00110,Italy,Retail
C00111,Customer 00111,Germany,Industrial
C00112,Customer 00112,Italy,Wholesale
C00113,Customer 00113,Spain,Retail
C00114,Customer 00114,France,Wholesale
C00115,Customer 00115,Spain,Retail
C00116,Customer 00116,Spain,Retail
C00117,Customer 00117,Brazil,Retail
C00118,Customer 00118,Brazil,Industrial
C00119,Customer 00119,Germany,Wholesale
C00120,Customer 00120,Brazil,Industrial
C00121,Customer 00121,France,Industrial
C00122,Customer 00122,Italy,Industrial
C00123,Customer 00123,Spain,Retail
C00124,Customer 00124,France,Industrial
C00125,Customer 00125,Netherlands,Wholesale
C00126,Customer 00126,Spain,Retail
C00127,Customer 00127,Brazil,Wholesale
C00128,Customer 00128,Italy,Retail
C00129,Customer 00129,Spain,Retail
C00130,Customer 00130,Spain,Retail
C00131,Customer 00131,Spain,Retail
C00132,Customer 00132,Spain,Retail
C00133,Customer 00133,Brazil,Industrial
C00134,Customer 00134,Spain,Wholesale
C00135,Customer 00135,Italy,Retail
C00136,Customer 00136,Germany,Retail
C00137,Customer 00137,Spain,Retail
C00138,Customer 00138,Brazil,Retail
C00139,Customer 00139,France,Wholesale
C00140,Customer 00140,France,Retail
C00141,Customer 00141,Netherlands,Wholesale
C00142,Customer 00142,Germany,Wholesale
C00143,Customer 00143,Germany,Wholesale
C00144,Customer 00144,France,Industrial
C00145,Customer 00145,Netherlands,Retail
C00146,Customer 00146,Netherlands,Industrial
C00147,Customer 00147,Brazil,Wholesale
C00148,Customer 00148,Germany,Wholesale
C00149,Customer 00149,Italy,Wholesale
C00150,Customer 00150,Brazil,Wholesale
C00151,Customer 00151,Netherlands,Industrial
C00152,Customer 00152,Germany,Retail
C00153,Customer 00153,Netherlands,Wholesale
C00154,Customer 00154,Germany,Wholesale
C00155,Customer 00155,France,Retail
C00156,Customer 00156,Spain,Industrial
C00157,Customer 00157,Brazil,Retail
C00158,Customer 00158,Spain,Wholesale
C00159,Customer 00159,Spain,Retail
C00160,Customer 00160,Italy,Retail
C00161,Customer 00161,Netherlands,Wholesale
C00162,Customer 00162,Spain,Retail
C00163,Customer 00163,France,Retail
C00164,Customer 00164,France,Retail
C00165,Customer 00165,France,Retail
C00166,Customer 00166,Italy,Wholesale
C00167,Customer 00167,Germany,Industrial
C00168,Customer 00168,Germany,Retail
C00169,Customer 00169,France,Wholesale
C00170,Customer 00170,Brazil,Retail
C00171,Customer 00171,Brazil,Wholesale
C00172,Customer 00172,Brazil,Retail
C00173,Customer 00173,Italy,Retail
C00174,Customer 00174,Italy,Retail
C00175,Customer 00175,Italy,Wholesale
C00176,Customer 00176,France,Retail
C00177,Customer 00177,Italy,Retail
C00178,Customer 00178,Brazil,Wholesale
C00179,Customer 00179,Netherlands,Wholesale
C00180,Customer 00180,Spain,Retail
C00181,Customer 00181,Netherlands,Wholesale
C00182,Customer 00182,Brazil,Industrial
C00183,Customer 00183,France,Retail
C00184,Customer 00184,Italy,Wholesale
C00185,Customer 00185,France,Retail
C00186,Customer 00186,France,Wholesale
C00187,Customer 00187,Brazil,Retail
C00188,Customer 00188,France,Wholesale
C00189,Customer 00189,Germany,Retail
C00190,Customer 00190,Germany,Retail
C00191,Customer 00191,Italy,Industrial
C00192,Customer 00192,Spain,Retail
C00193,Customer 00193,Spain,Industrial
C00194,Customer 00194,France,Industrial
C00195,Customer 00195,Netherlands,Industrial
C00196,Customer 00196,Brazil,Retail
C00197,Customer 00197,France,Wholesale
C00198,Customer 00198,Brazil,Retail
C00199,Customer 00199,France,Retail
C00200,Customer 00200,Netherlands,Industrial
C00201,Customer 00201,France,Wholesale
C00202,Customer 00202,Netherlands,Retail
C00203,Customer 00203,France,Retail
C00204,Customer 00204,Italy,Wholesale
C00205,Customer 00205,France,Wholesale
C00206,Customer 00206,Germany,Retail
C00207,Customer 00207,Italy,Industrial
C00208,Customer 00208,Netherlands,Retail
C00209,Customer 00209,Germany,Retail
C00210,Customer 00210,Italy,Wholesale
C00211,Customer 00211,Germany,Industrial
C00212,Customer 00212,Italy,Retail
C00213,Customer 00213,Italy,Retail
C00214,Customer 00214,France,Retail
C00215,Customer 00215,Italy,Industrial
C00216,Customer 00216,Germany,Retail
C00217,Customer 00217,Brazil,Retail
C00218,Customer 00218,Brazil,Industrial
C00219,Customer 00219,France,Retail
C00220,Customer 00220,Netherlands,Wholesale
C00221,Customer 00221,Brazil,Retail
C00222,Customer 00222,France,Wholesale
C00223,Customer 00223,Italy,Retail
C00224,Customer 00224,Germany,Retail
C00225,Customer 00225,Italy,Retail
C00226,Customer 00226,Germany,Wholesale
C00227,Customer 00227,Italy,Wholesale
C00228,Customer 00228,Spain,Retail
C00229,Customer 00229,Spain,Retail
C00230,Customer 00230,Germany,Industrial
C00231,Customer 00231,France,Retail
C00232,Customer 00232,Netherlands,Retail
C00233,Customer 00233,Brazil,Wholesale
C00234,Customer 00234,Italy,Retail
C00235,Customer 00235,France,Retail
C00236,Customer 00236,Italy,Retail
C00237,Customer 00237,Spain,Retail
C00238,Customer 00238,France,Retail
C00239,Customer 00239,Germany,Wholesale
C00240,Customer 00240,Spain,Wholesale
C00241,Customer 00241,Brazil,Retail
C00242,Customer 00242,Spain,Wholesale
C00243,Customer 00243,Brazil,Retail
C00244,Customer 00244,Spain,Wholesale
C00245,Customer 00245,Spain,Retail
C00246,Customer 00246,Brazil,Wholesale
C00247,Customer 00247,Italy,Retail
C00248,Customer 00248,France,Retail
C00249,Customer 00249,Italy,Retail
C00250,Customer 00250,Brazil,Retail
C00251,Customer 00251,Germany,Retail
C00252,Customer 00252,France,Wholesale
C00253,Customer 00253,Germany,Wholesale
C00254,Customer 00254,Germany,Retail
C00255,Customer 00255,Spain,Industrial
C00256,Customer 00256,Brazil,Wholesale
C00257,Customer 00257,Italy,Industrial
C00258,Customer 00258,Brazil,Wholesale
C00259,Customer 00259,Germany,Wholesale
C00260,Customer 00260,Spain,Retail
C00261,Customer 00261,Italy,Wholesale
C00262,Customer 00262,Germany,Industrial
C00263,Customer 00263,Germany,Retail
C00264,Customer 00264,Netherlands,Retail
C00265,Customer 00265,Netherlands,Retail
C00266,Customer 00266,Spain,Industrial
C00267,Customer 00267,France,Retail
C00268,Customer 00268,France,Wholesale
C00269,Customer 00269,Spain,Wholesale
C00270,Customer 00270,Spain,Industrial
C00271,Customer 00271,Germany,Retail
C00272,Customer 00272,Brazil,Wholesale
C00273,Customer 00273,Brazil,Industrial
C00274,Customer 00274,Netherlands,Retail
C00275,Customer 00275,France,Wholesale
C00276,Customer 00276,France,Retail
C00277,Customer 00277,France,Wholesale
C00278,Customer 00278,Italy,Retail
C00279,Customer 00279,Brazil,Retail
C00280,Customer 00280,Brazil,Retail
C00281,Customer 00281,Germany,Retail
C00282,Customer 00282,France,Retail
C00283,Customer 00283,Italy,Wholesale
C00284,Customer 00284,France,Retail
C00285,Customer 00285,France,Retail
C00286,Customer 00286,Netherlands,Wholesale
C00287,Customer 00287,Brazil,Wholesale
C00288,Customer 00288,Spain,Retail
C00289,Customer 00289,Spain,Industrial
C00290,Customer 00290,France,Retail
C00291,Customer 00291,Italy,Wholesale
C00292,Customer 00292,Germany,Retail
C00293,Customer 00293,Netherlands,Wholesale
C00294,Customer 00294,Germany,Industrial
C00295,Customer 00295,Spain,Wholesale
C00296,Customer 00296,Spain,Wholesale
C00297,Customer 00297,Netherlands,Wholesale
C00298,Customer 00298,France,Retail
C00299,Customer 00299,Germany,Wholesale
C00300,Customer 00300,Brazil,Wholesale
C00301,Customer 00301,France,Industrial
C00302,Customer 00302,Italy,Retail
C00303,Customer 00303,Brazil,Retail
C00304,Customer 00304,Netherlands,Wholesale
C00305,Customer 00305,Spain,Retail
C00306,Customer 00306,Brazil,Retail
C00307,Customer 00307,Germany,Retail
C00308,Customer 00308,Spain,Wholesale
C00309,Customer 00309,Germany,Retail
C00310,Customer 00310,Brazil,Retail
C00311,Customer 00311,Spain,Retail
C00312,Customer 00312,Italy,Industrial
C00313,Customer 00313,Brazil,Wholesale
C00314,Customer 00314,Germany,Retail
C00315,Customer 00315,Germany,Retail
C00316,Customer 00316,Spain,Wholesale
C00317,Customer 00317,Italy,Retail
C00318,Customer 00318,Italy,Wholesale
C00319,Customer 00319,Netherlands,Retail
C00320,Customer 00320,Italy,Industrial
C00321,Customer 00321,Germany,Retail
C00322,Customer 00322,Brazil,Wholesale
C00323,Customer 00323,Spain,Retail
C00324,Customer 00324,Netherlands,Industrial
C00325,Customer 00325,Netherlands,Industrial
C00326,Customer 00326,Germany,Wholesale
C00327,Customer 00327,Germany,Retail
C00328,Customer 00328,Brazil,Retail
C00329,Customer 00329,Brazil,Wholesale
C00330,Customer 00330,Spain,Wholesale
C00331,Customer 00331,Spain,Retail
C00332,Customer 00332,France,Retail
C00333,Customer 00333,Germany,Retail
C00334,Customer 00334,Italy,Wholesale
C00335,Customer 00335,France,Wholesale
C00336,Customer 00336,Italy,Wholesale
C00337,Customer 00337,Netherlands,Wholesale
C00338,Customer 00338,Germany,Retail
C00339,Customer 00339,Germany,Retail
C00340,Customer 00340,Netherlands,Retail
C00341,Customer 00341,Spain,Wholesale
C00342,Customer 00342,Germany,Retail
C00343,Customer 00343,Spain,Retail
C00344,Customer 00344,Spain,Retail
C00345,Customer 00345,Netherlands,Retail
C00346,Customer 00346,Germany,Wholesale
C00347,Customer 00347,Netherlands,Retail
C00348,Customer 00348,Netherlands,Retail
C00349,Customer 00349,Germany,Wholesale
C00350,Customer 00350,Brazil,Retail
C00351,Customer 00351,Spain,Retail
C00352,Customer 00352,Brazil,Retail
C00353,Customer 00353,Germany,Wholesale
C00354,Customer 00354,France,Retail
C00355,Customer 00355,Netherlands,Wholesale
C00356,Customer 00356,Netherlands,Industrial
C00357,Customer 00357,Brazil,Wholesale
C00358,Customer 00358,Netherlands,Retail
C00359,Customer 00359,Brazil,Wholesale
C00360,Customer 00360,Italy,Retail
C00361,Customer 00361,Netherlands,Retail
C00362,Customer 00362,Netherlands,Retail
C00363,Customer 00363,Germany,Retail
C00364,Customer 00364,Netherlands,Retail
C00365,Customer 00365,Brazil,Retail
C00366,Customer 00366,Spain,Retail
C00367,Customer 00367,France,Retail
C00368,Customer 00368,Germany,Wholesale
C00369,Customer 00369,Brazil,Industrial
C00370,Customer 00370,Italy,Retail
C00371,Customer 00371,France,Wholesale
C00372,Customer 00372,Spain,Retail
C00373,Customer 00373,France,Retail
C00374,Customer 00374,France,Retail
C00375,Customer 00375,Netherlands,Retail
C00376,Customer 00376,Brazil,Retail
C00377,Customer 00377,Italy,Retail
C00378,Customer 00378,Italy,Retail
C00379,Customer 00379,France,Retail
C00380,Customer 00380,Germany,Retail
C00381,Customer 00381,Brazil,Retail
C00382,Customer 00382,Netherlands,Retail
C00383,Customer 00383,Netherlands,Retail
C00384,Customer 00384,Germany,Retail
C00385,Customer 00385,Brazil,Retail
C00386,Customer 00386,Brazil,Retail
C00387,Customer 00387,Brazil,Retail
C00388,Customer 00388,Italy,Industrial
C00389,Customer 00389,Netherlands,Retail
C00390,Customer 00390,Brazil,Retail
C00391,Customer 00391,Italy,Retail
C00392,Customer 00392,Germany,Industrial
C00393,Customer 00393,France,Wholesale
C00394,Customer 00394,Spain,Wholesale
C00395,Customer 00395,Italy,Industrial
C00396,Customer 00396,Netherlands,Retail
C00397,Customer 00397,Brazil,Industrial
C00398,Customer 00398,Germany,Retail
C00399,Customer 00399,Germany,Wholesale
C00400,Customer 00400,Germany,Retail
C00401,Customer 00401,Netherlands,Retail
C00402,Customer 00402,Italy,Industrial
C00403,Customer 00403,Germany,Retail
C00404,Customer 00404,Netherlands,Industrial
C00405,Customer 00405,France,Retail
C00406,Customer 00406,Spain,Wholesale
C00407,Customer 00407,France,Industrial
C00408,Customer 00408,Brazil,Retail
C00409,Customer 00409,Netherlands,Industrial
C00410,Customer 00410,Brazil,Wholesale
C00411,Customer 00411,Germany,Wholesale
C00412,Customer 00412,Germany,Retail
C00413,Customer 00413,Germany,Retail
C00414,Customer 00414,Brazil,Wholesale
C00415,Customer 00415,Brazil,Retail
C00416,Customer 00416,Italy,Retail
C00417,Customer 00417,Netherlands,Retail
C00418,Customer 00418,Brazil,Industrial
C00419,Customer 00419,Germany,Retail
C00420,Customer 00420,Spain,Wholesale
C00421,Customer 00421,Netherlands,Industrial
C00422,Customer 00422,Italy,Retail
C00423,Customer 00423,Italy,Retail
C00424,Customer 00424,Spain,Wholesale
C00425,Customer 00425,France,Retail
C00426,Customer 00426,Germany,Wholesale
C00427,Customer 00427,Netherlands,Wholesale
C00428,Customer 00428,Italy,Wholesale
C00429,Customer 00429,Brazil,Retail
C00430,Customer 00430,Italy,Wholesale
C00431,Customer 00431,Brazil,Wholesale
C00432,Customer 00432,Italy,Retail
C00433,Customer 00433,Italy,Wholesale
C00434,Customer 00434,Brazil,Industrial
C00435,Customer 00435,France,Wholesale
C00436,Customer 00436,Brazil,Retail
C00437,Customer 00437,Spain,Retail
C00438,Customer 00438,Netherlands,Retail
C00439,Customer 00439,Brazil,Retail
C00440,Customer 00440,France,Retail
C00441,Customer 00441,Netherlands,Industrial
C00442,Customer 00442,Germany,Retail
C00443,Customer 00443,Brazil,Wholesale
C00444,Customer 00444,France,Retail
C00445,Customer 00445,Spain,Retail
C00446,Customer 00446,Spain,Retail
C00447,Customer 00447,Germany,Retail
C00448,Customer 00448,Netherlands,Wholesale
C00449,Customer 00449,Spain,Industrial
C00450,Customer 00450,Germany,Industrial
C00451,Customer 00451,Netherlands,Retail
C00452,Customer 00452,Netherlands,Wholesale
C00453,Customer 00453,France,Retail
C00454,Customer 00454,Brazil,Industrial
C00455,Customer 00455,Spain,Retail
C00456,Customer 00456,Spain,Retail
C00457,Customer 00457,Brazil,Retail
C00458,Customer 00458,Spain,Retail
C00459,Customer 00459,Netherlands,Retail
C00460,Customer 00460,Brazil,Industrial
C00461,Customer 00461,Italy,Wholesale
C00462,Customer 00462,Brazil,Industrial
C00463,Customer 00463,Italy,Retail
C00464,Customer 00464,France,Wholesale
C00465,Customer 00465,Brazil,Retail
C00466,Customer 00466,Netherlands,Retail
C00467,Customer 00467,Brazil,Retail
C00468,Customer 00468,Spain,Retail
C00469,Customer 00469,Germany,Wholesale
C00470,Customer 00470,Netherlands,Retail
C00471,Customer 00471,Italy,Retail
C00472,Customer 00472,Italy,Wholesale
C00473,Customer 00473,France,Retail
C00474,Customer 00474,France,Industrial
C00475,Customer 00475,Spain,Retail
C00476,Customer 00476,Italy,Wholesale
C00477,Customer 00477,Netherlands,Wholesale
C00478,Customer 00478,Brazil,Wholesale
C00479,Customer 00479,Spain,Wholesale
C00480,Customer 00480,Brazil,Industrial
C00481,Customer 00481,Germany,Wholesale
C00482,Customer 00482,Italy,Retail
C00483,Customer 00483,Germany,Retail
C00484,Customer 00484,Italy,Wholesale
C00485,Customer 00485,France,Retail
C00486,Customer 00486,Germany,Retail
C00487,Customer 00487,France,Retail
C00488,Customer 00488,Spain,Retail
C00489,Customer 00489,Italy,Retail
C00490,Customer 00490,Spain,Wholesale
C00491,Customer 00491,Netherlands,Wholesale
C00492,Customer 00492,Netherlands,Wholesale
C00493,Customer 00493,Italy,Retail
C00494,Customer 00494,Spain,Retail
C00495,Customer 00495,Germany,Wholesale
C00496,Customer 00496,France,Retail
C00497,Customer 00497,Brazil,Wholesale
C00498,Customer 00498,France,Retail
C00499,Customer 00499,Netherlands,Industrial
C00500,Customer 00500,France,Retail
C00501,Customer 00501,Brazil,Wholesale
C00502,Customer 00502,Spain,Wholesale
C00503,Customer 00503,Netherlands,Retail
C00504,Customer 00504,Netherlands,Wholesale
C00505,Customer 00505,Germany,Retail
C00506,Customer 00506,France,Wholesale
C00507,Customer 00507,Spain,Wholesale
C00508,Customer 00508,Germany,Retail
C00509,Customer 00509,Germany,Retail
C00510,Customer 00510,Germany,Wholesale
C00511,Customer 00511,Netherlands,Retail
C00512,Customer 00512,Italy,Industrial
C00513,Customer 00513,Netherlands,Wholesale
C00514,Customer 00514,Italy,Wholesale
C00515,Customer 00515,Netherlands,Retail
C00516,Customer 00516,Brazil,Wholesale
C00517,Customer 00517,Netherlands,Industrial
C00518,Customer 00518,Brazil,Retail
C00519,Customer 00519,France,Retail
C00520,Customer 00520,Spain,Retail
C00521,Customer 00521,France,Retail
C00522,Customer 00522,Brazil,Wholesale
C00523,Customer 00523,Germany,Retail
C00524,Customer 00524,Italy,Wholesale
C00525,Customer 00525,Germany,Retail
C00526,Customer 00526,Germany,Retail
C00527,Customer 00527,Netherlands,Retail
C00528,Customer 00528,Brazil,Industrial
C00529,Customer 00529,Netherlands,Wholesale
C00530,Customer 00530,Netherlands,Retail
C00531,Customer 00531,Spain,Wholesale
C00532,Customer 00532,Brazil,Retail
C00533,Customer 00533,Brazil,Retail
C00534,Customer 00534,Germany,Retail
C00535,Customer 00535,Spain,Industrial
C00536,Customer 00536,Brazil,Wholesale
C00537,Customer 00537,France,Wholesale
C00538,Customer 00538,Brazil,Retail
C00539,Customer 00539,Spain,Retail
C00540,Customer 00540,Brazil,Wholesale
C00541,Customer 00541,Italy,Retail
C00542,Customer 00542,Brazil,Industrial
C00543,Customer 00543,Germany,Wholesale
C00544,Customer 00544,Germany,Retail
C00545,Customer 00545,Italy,Wholesale
C00546,Customer 00546,Brazil,Industrial
C00547,Customer 00547,France,Retail
C00548,Customer 00548,Spain,Wholesale
C00549,Customer 00549,Spain,Industrial
C00550,Customer 00550,Italy,Retail
C00551,Customer 00551,Italy,Industrial
C00552,Customer 00552,France,Retail
C00553,Customer 00553,Italy,Wholesale
C00554,Customer 00554,Germany,Wholesale
C00555,Customer 00555,Netherlands,Wholesale
C00556,Customer 00556,Spain,Retail
C00557,Customer 00557,Italy,Wholesale
C00558,Customer 00558,Netherlands,Retail
C00559,Customer 00559,Italy,Retail
C00560,Customer 00560,Netherlands,Retail
C00561,Customer 00561,Spain,Wholesale
C00562,Customer 00562,Brazil,Retail
C00563,Customer 00563,France,Retail
C00564,Customer 00564,Germany,Industrial
C00565,Customer 00565,Netherlands,Retail
C00566,Customer 00566,Germany,Retail
C00567,Customer 00567,Germany,Retail
C00568,Customer 00568,Germany,Retail
C00569,Customer 00569,Spain,Wholesale
C00570,Customer 00570,Spain,Retail
C00571,Customer 00571,Netherlands,Retail
C00572,Customer 00572,France,Industrial
C00573,Customer 00573,Germany,Wholesale
C00574,Customer 00574,Brazil,Wholesale
C00575,Customer 00575,Brazil,Industrial
C00576,Customer 00576,France,Industrial
C00577,Customer 00577,Netherlands,Retail
C00578,Customer 00578,Spain,Wholesale
C00579,Customer 00579,Netherlands,Wholesale
C00580,Customer 00580,Brazil,Retail
C00581,Customer 00581,Brazil,Retail
C00582,Customer 00582,Netherlands,Retail
C00583,Customer 00583,Brazil,Wholesale
C00584,Customer 00584,Brazil,Wholesale
C00585,Customer 00585,France,Wholesale
C00586,Customer 00586,Netherlands,Retail
C00587,Customer 00587,Italy,Retail
C00588,Customer 00588,Brazil,Retail
C00589,Customer 00589,Netherlands,Retail
C00590,Customer 00590,Netherlands,Industrial
C00591,Customer 00591,Italy,Industrial
C00592,Customer 00592,Netherlands,Industrial
C00593,Customer 00593,Germany,Industrial
C00594,Customer 00594,Netherlands,Industrial
C00595,Customer 00595,Germany,Retail
C00596,Customer 00596,Italy,Retail
C00597,Customer 00597,Spain,Retail
C00598,Customer 00598,Italy,Retail
C00599,Customer 00599,Spain,Retail
C00600,Customer 00600,Spain,Retail
C00601,Customer 00601,Spain,Industrial
C00602,Customer 00602,Italy,Retail
C00603,Customer 00603,Italy,Industrial
C00604,Customer 00604,Brazil,Wholesale
C00605,Customer 00605,Italy,Wholesale
C00606,Customer 00606,Spain,Wholesale
C00607,Customer 00607,Germany,Retail
C00608,Customer 00608,Spain,Wholesale
C00609,Customer 00609,Netherlands,Retail
C00610,Customer 00610,Netherlands,Industrial
C00611,Customer 00611,Netherlands,Retail
C00612,Customer 00612,France,Retail
C00613,Customer 00613,Italy,Wholesale
C00614,Customer 00614,France,Wholesale
C00615,Customer 00615,Italy,Retail
C00616,Customer 00616,Spain,Wholesale
C00617,Customer 00617,Germany,Retail
C00618,Customer 00618,Germany,Wholesale
C00619,Customer 00619,Brazil,Retail
C00620,Customer 00620,Brazil,Retail
C00621,Customer 00621,France,Retail
C00622,Customer 00622,France,Retail
C00623,Customer 00623,Brazil,Retail
C00624,Customer 00624,France,Retail
C00625,Customer 00625,Spain,Retail
C00626,Customer 00626,Germany,Retail
C00627,Customer 00627,France,Retail
C00628,Customer 00628,France,Retail
C00629,Customer 00629,Spain,Wholesale
C00630,Customer 00630,France,Industrial
C00631,Customer 00631,Italy,Retail
C00632,Customer 00632,Germany,Industrial
C00633,Customer 00633,France,Retail
C00634,Customer 00634,France,Retail
C00635,Customer 00635,Germany,Wholesale
C00636,Customer 00636,Italy,Wholesale
C00637,Customer 00637,Germany,Wholesale
C00638,Customer 00638,Germany,Retail
C00639,Customer 00639,Italy,Wholesale
C00640,Customer 00640,Netherlands,Retail
C00641,Customer 00641,Italy,Retail
C00642,Customer 00642,Netherlands,Retail
C00643,Customer 00643,Netherlands,Industrial
C00644,Customer 00644,France,Retail
C00645,Customer 00645,Italy,Wholesale
C00646,Customer 00646,Germany,Wholesale
C00647,Customer 00647,France,Wholesale
C00648,Customer 00648,Spain,Wholesale
C00649,Customer 00649,Netherlands,Industrial
C00650,Customer 00650,Netherlands,Retail
C00651,Customer 00651,France,Retail
C00652,Customer 00652,Spain,Wholesale
C00653,Customer 00653,Germany,Retail
C00654,Customer 00654,Italy,Retail
C00655,Customer 00655,Spain,Retail
C00656,Customer 00656,Spain,Retail
C00657,Customer 00657,Italy,Retail
C00658,Customer 00658,Spain,Retail
C00659,Customer 00659,Brazil,Industrial
C00660,Customer 00660,Germany,Retail
C00661,Customer 00661,Germany,Industrial
C00662,Customer 00662,Italy,Industrial
C00663,Customer 00663,Brazil,Retail
C00664,Customer 00664,Germany,Wholesale
C00665,Customer 00665,Spain,Wholesale
C00666,Customer 00666,Italy,Wholesale
C00667,Customer 00667,Spain,Retail
C00668,Customer 00668,Netherlands,Retail
C00669,Customer 00669,Netherlands,Retail
C00670,Customer 00670,Brazil,Wholesale
C00671,Customer 00671,Netherlands,Industrial
C00672,Customer 00672,Spain,Wholesale
C00673,Customer 00673,Spain,Wholesale
C00674,Customer 00674,Brazil,Industrial
C00675,Customer 00675,Spain,Wholesale
C00676,Customer 00676,Italy,Retail
C00677,Customer 00677,Spain,Industrial
C00678,Customer 00678,Brazil,Retail
C00679,Customer 00679,Spain,Retail
C00680,Customer 00680,Netherlands,Retail
C00681,Customer 00681,Italy,Industrial
C00682,Customer 00682,Brazil,Retail
C00683,Customer 00683,Netherlands,Retail
C00684,Customer 00684,Netherlands,Retail
C00685,Customer 00685,Germany,Retail
C00686,Customer 00686,Italy,Retail
C00687,Customer 00687,France,Wholesale
C00688,Customer 00688,Spain,Industrial
C00689,Customer 00689,France,Retail
C00690,Customer 00690,Italy,Retail
C00691,Customer 00691,Netherlands,Retail
C00692,Customer 00692,Italy,Retail
C00693,Customer 00693,Netherlands,Wholesale
C00694,Customer 00694,Netherlands,Wholesale
C00695,Customer 00695,Brazil,Wholesale
C00696,Customer 00696,Germany,Retail
C00697,Customer 00697,Italy,Wholesale
C00698,Customer 00698,Spain,Retail
C00699,Customer 00699,Brazil,Retail
C00700,Customer 00700,Brazil,Industrial
