delivery_id,order_id,promised_delivery_date,actual_delivery_date,transport_cost,delivery_status
D0000172,O0000172,2025-11-23,2025-11-17,175.52,Delivered
D0000173,O0000173,2025-11-23,2025-11-14,51.47,Delivered
D0000174,O0000174,2025-01-07,2025-01-08,21.5,In Transit
D0000175,O0000175,2025-09-08,2025-09-20,81.19,Delivered
D0000176,O0000176,2026-01-07,2026-01-12,44.31,Delivered
D0000177,O0000177,2025-08-06,2025-08-04,139.39,Cancelled
D0000178,O0000178,2025-06-02,2025-05-26,54.0,Delivered
D0000179,O0000179,2025-07-06,2025-07-13,88.37,Delivered
D0000180,O0000180,2025-03-27,2025-03-23,200.58,Delivered
D0000181,O0000181,2025-05-30,2025-06-08,180.24,Delivered
D0000182,O0000182,2025-12-16,2025-12-14,44.56,In Transit
D0000183,O0000183,2025-08-20,2025-08-26,36.66,Delivered
D0000184,O0000184,2025-06-15,2025-06-10,29.37,Cancelled
D0000185,O0000185,2025-02-23,2025-02-27,111.38,Cancelled
D0000186,O0000186,2025-12-03,2025-12-12,107.7,Delivered
D0000187,O0000187,2025-03-04,2025-03-11,72.91,Delivered
D0000188,O0000188,2025-09-28,2025-10-03,173.09,In Transit
D0000189,O0000189,2025-04-26,2025-04-22,133.28,Delivered
D0000190,O0000190,2025-04-18,2025-04-21,239.22,Cancelled
D0000191,O0000191,2025-03-07,2025-03-12,28.69,Delivered
D0000192,O0000192,2025-05-21,2025-05-22,102.13,Delivered
D0000193,O0000193,2025-09-14,2025-09-16,190.26,Delivered
D0000194,O0000194,2025-06-10,2025-06-04,55.3,Delivered
D0000195,O0000195,2025-01-17,2025-01-25,27.18,Delivered
D0000196,O0000196,2025-04-17,2025-04-22,103.24,Delivered
D0000197,O0000197,2025-03-03,2025-03-13,115.48,Delivered
D0000198,O0000198,2025-06-04,2025-06-07,80.13,Cancelled
D0000199,O0000199,2025-11-29,2025-11-29,32.82,Delivered
D0000200,O0000200,2025-12-26,2025-12-23,83.14,Delivered
D0000201,O0000201,2026-01-06,2026-01-12,35.35,Delivered
D0000202,O0000202,2025-02-15,2025-02-14,39.89,Cancelled
D0000203,O0000203,2025-06-30,2025-07-03,71.84,Delivered
D0000204,O0000204,2025-01-20,2025-01-30,39.77,Delivered
D0000205,O0000205,2025-07-07,2025-07-05,103.18,Delivered
D0000206,O0000206,2025-08-04,2025-08-05,63.49,Delivered
D0000207,O0000207,2025-10-15,2025-10-21,116.98,Delivered
D0000208,O0000208,2025-05-11,2025-05-05,31.2,In Transit
D0000209,O0000209,2025-01-20,2025-01-28,64.46,Delivered
D0000210,O0000210,2025-06-20,2025-06-23,147.59,In Transit
D0000211,O0000211,2025-06-10,2025-06-18,123.94,Delivered
D0000212,O0000212,2025-08-23,2025-08-23,71.91,Delivered
D0000213,O0000213,2025-02-14,2025-02-18,102.27,Delivered
D0000214,O0000214,2025-08-18,2025-08-25,88.6,Delivered
D0000215,O0000215,2025-06-01,2025-06-07,83.31,Delivered
D0000216,O0000216,2025-09-30,2025-10-05,72.79,Delivered
D0000217,O0000217,2026-01-02,2025-12-28,240.94,Delivered
D0000218,O0000218,2025-03-31,2025-03-29,84.98,In Transit
D0000219,O0000219,2025-10-11,2025-10-07,119.58,Delivered
D0000220,O0000220,2025-02-24,2025-03-03,52.36,Delivered
D0000221,O0000221,2026-01-02,2026-01-07,122.79,Delivered
D0000222,O0000222,2025-06-30,2025-07-01,235.53,Delivered
D0000223,O0000223,2025-10-04,2025-10-03,108.54,Delivered
D0000224,O0000224,2025-10-21,2025-10-24,215.73,Delivered
D0000225,O0000225,2025-08-18,2025-08-17,24.79,In Transit
D0000226,O0000226,2025-05-24,2025-05-23,44.71,Delivered
D0000227,O0000227,2025-10-12,2025-10-09,38.91,Delivered
D0000228,O0000228,2025-06-28,2025-07-06,58.82,In Transit
D0000229,O0000229,2025-09-05,2025-09-04,77.62,Delivered
D0000230,O0000230,2025-08-18,2025-08-27,28.77,Delivered
D0000231,O0000231,2025-06-29,2025-06-30,159.52,Delivered
D0000232,O0000232,2025-02-16,2025-02-13,62.6,Delivered
D0000233,O0000233,2025-04-20,2025-04-25,121.53,Delivered
D0000234,O0000234,2025-12-13,2025-12-16,86.74,Delivered
D0000235,O0000235,2025-07-19,2025-07-21,23.89,Delivered
D0000236,O0000236,2025-08-29,2025-08-31,225.49,Delivered
D0000237,O0000237,2025-04-09,2025-04-14,33.36,Delivered
D0000238,O0000238,2025-09-19,2025-09-24,27.24,Delivered
D0000239,O0000239,2025-07-02,2025-07-02,62.26,Delivered
D0000240,O0000240,2025-03-27,2025-03-23,62.53,Delivered
D0000241,O0000241,2025-03-03,2025-02-25,142.76,Delivered
D0000242,O0000242,2025-05-29,2025-06-05,32.42,Delivered
D0000243,O0000243,2025-08-02,2025-07-31,22.37,Delivered
D0000244,O0000244,2025-04-19,2025-04-23,183.97,Delivered
D0000245,O0000245,2025-04-07,2025-04-03,153.09,Delivered
D0000246,O0000246,2025-04-18,2025-04-22,105.78,In Transit
D0000247,O0000247,2025-04-25,2025-05-01,91.33,Delivered
D0000248,O0000248,2025-10-03,2025-10-06,36.08,Delivered
D0000249,O0000249,2025-07-05,2025-07-16,69.2,Delivered
D0000250,O0000250,2025-06-29,2025-06-23,58.04,In Transit
D0000251,O0000251,2025-03-08,2025-03-10,35.45,Delivered
D0000252,O0000252,2025-07-26,2025-07-28,28.83,Delivered
D0000253,O0000253,2025-12-26,2026-01-02,45.81,Delivered
D0000254,O0000254,2025-10-10,2025-10-11,38.51,Delivered
D0000255,O0000255,2025-06-22,2025-06-23,36.46,Delivered
D0000256,O0000256,2025-05-01,2025-05-03,45.11,Cancelled
D0000257,O0000257,2025-05-13,2025-05-19,63.97,Delivered
D0000258,O0000258,2025-01-16,2025-01-12,34.85,Delivered
D0000259,O0000259,2025-01-21,2025-01-15,40.37,In Transit
D0000260,O0000260,2025-10-20,2025-10-12,69.71,Delivered
D0000261,O0000261,2025-11-09,2025-11-17,110.64,Delivered
D0000262,O0000262,2025-12-28,2025-12-31,20.21,Delivered
D0000263,O0000263,2025-08-24,2025-08-25,116.9,Delivered
D0000264,O0000264,2025-12-10,2025-12-13,135.31,In Transit
D0000265,O0000265,2025-06-05,2025-06-02,35.11,Delivered
D0000266,O0000266,2025-04-07,2025-04-15,65.48,Delivered
D0000267,O0000267,2025-04-08,2025-04-11,59.14,Delivered
D0000268,O0000268,2025-04-07,2025-04-01,69.81,Delivered
D0000269,O0000269,2025-10-06,2025-10-07,147.72,Delivered
D0000270,O0000270,2025-01-07,2025-01-06,42.18,Delivered
D0000271,O0000271,2025-12-20,2025-12-25,28.97,Delivered
D0000272,O0000272,2025-10-13,2025-10-24,69.59,Delivered
D0000273,O0000273,2025-05-26,2025-05-23,65.87,In Transit
D0000274,O0000274,2025-09-22,2025-09-24,51.58,Delivered
D0000275,O0000275,2025-03-01,2025-02-25,32.55,Delivered
D0000276,O0000276,2025-06-16,2025-06-16,40.2,In Transit
D0000277,O0000277,2025-02-18,2025-02-13,73.19,Delivered
D0000278,O0000278,2025-02-14,2025-02-14,186.95,Delivered
D0000279,O0000279,2025-01-13,2025-01-18,313.39,Delivered
D0000280,O0000280,2025-10-24,2025-10-26,168.97,Cancelled
D0000281,O0000281,2025-10-09,2025-10-07,27.11,In Transit
D0000282,O0000282,2025-12-02,2025-11-29,35.66,In Transit
D0000283,O0000283,2026-01-04,2026-01-04,141.3,Delivered
D0000284,O0000284,2025-12-29,2026-01-03,192.99,Delivered
D0000285,O0000285,2026-01-08,2026-01-11,148.18,In Transit
D0000286,O0000286,2025-01-10,2025-01-14,78.21,Delivered
D0000287,O0000287,2025-10-23,2025-10-15,127.57,Delivered
D0000288,O0000288,2025-09-27,2025-10-04,158.93,Delivered
D0000289,O0000289,2025-03-05,2025-03-07,90.07,Delivered
D0000290,O0000290,2025-02-26,2025-03-06,24.35,Delivered
D0000291,O0000291,2025-12-27,2025-12-29,44.07,Delivered
D0000292,O0000292,2025-11-29,2025-11-21,212.87,Delivered
D0000293,O0000293,2025-05-09,2025-05-08,153.9,Delivered
D0000294,O0000294,2025-02-01,2025-02-11,25.21,Delivered
D0000295,O0000295,2025-05-11,2025-05-14,29.45,Delivered
D0000296,O0000296,2025-01-08,2025-01-14,33.49,Delivered
D0000297,O0000297,2025-09-15,2025-09-12,57.49,Cancelled
D0000298,O0000298,2025-05-27,2025-06-02,43.67,In Transit
D0000299,O0000299,2025-01-24,2025-01-29,13.03,In Transit
D0000300,O0000300,2025-12-31,2026-01-01,85.01,Delivered
D0000301,O0000301,2025-11-04,2025-11-06,53.23,Delivered
D0000302,O0000302,2025-12-07,2025-12-11,61.13,Delivered
D0000303,O0000303,2026-01-05,2026-01-01,32.22,Delivered
D0000304,O0000304,2025-01-14,2025-01-18,116.87,Delivered
D0000305,O0000305,2025-10-20,2025-10-17,40.56,In Transit
D0000306,O0000306,2025-10-18,2025-10-27,42.97,Delivered
D0000307,O0000307,2025-10-20,2025-10-16,73.19,Delivered
D0000308,O0000308,2025-04-17,2025-04-15,127.73,Delivered
D0000309,O0000309,2025-05-26,2025-05-29,28.14,Delivered
D0000310,O0000310,2025-12-13,2025-12-15,88.77,Delivered
D0000311,O0000311,2025-01-29,2025-02-03,121.63,Cancelled
D0000312,O0000312,2025-08-29,2025-08-28,33.43,Cancelled
D0000313,O0000313,2025-10-27,2025-10-19,51.28,Delivered
D0000314,O0000314,2025-10-25,2025-10-23,65.73,In Transit
D0000315,O0000315,2025-08-09,2025-08-15,45.02,Delivered
D0000316,O0000316,2025-10-16,2025-10-20,61.06,Delivered
D0000317,O0000317,2025-12-04,2025-12-10,38.6,In Transit
D0000318,O0000318,2025-10-14,2025-10-10,67.17,Delivered
D0000319,O0000319,2025-02-22,2025-02-18,59.58,In Transit
D0000320,O0000320,2025-04-09,2025-04-13,36.29,Delivered
D0000321,O0000321,2025-04-26,2025-05-03,36.97,Delivered
D0000322,O0000322,2025-05-11,2025-05-16,469.12,Delivered
D0000323,O0000323,2025-05-18,2025-05-24,54.17,Delivered
D0000324,O0000324,2025-03-29,2025-03-25,86.35,In Transit
D0000325,O0000325,2025-09-17,2025-09-14,180.48,Delivered
D0000326,O0000326,2025-02-14,2025-02-11,,Cancelled
D0000327,O0000327,2025-10-18,2025-10-20,40.18,In Transit
D0000328,O0000328,2025-09-01,2025-09-10,42.71,Delivered
D0000329,O0000329,2025-12-26,2025-12-25,601.47,Delivered
D0000330,O0000330,2025-01-09,2025-01-08,35.82,Delivered
D0000331,O0000331,2025-04-26,2025-04-21,74.39,In Transit
D0000332,O0000332,2025-12-02,2025-12-08,49.91,Cancelled
D0000333,O0000333,2025-07-04,2025-07-10,27.04,In Transit
D0000334,O0000334,2025-07-28,2025-07-26,106.15,In Transit
D0000335,O0000335,2025-01-18,2025-01-16,39.05,Cancelled
D0000336,O0000336,2025-10-16,2025-10-12,45.63,Delivered
D0000337,O0000337,2025-04-07,2025-04-06,68.83,Delivered
D0000338,O0000338,2025-12-26,2025-12-26,128.99,Delivered
D0000339,O0000339,2025-05-20,2025-05-29,153.35,Delivered
D0000340,O0000340,2025-03-19,2025-03-25,21.25,Delivered
D0000341,O0000341,2025-08-12,2025-08-20,32.28,Delivered
D0000342,O0000342,2025-06-28,2025-07-03,112.37,In Transit
D0000343,O0000343,2025-06-29,2025-06-30,27.25,Delivered
D0000344,O0000344,2025-12-18,2025-12-23,30.25,Delivered
D0000345,O0000345,2025-05-17,2025-05-18,156.57,Delivered
D0000346,O0000346,2025-05-31,2025-05-27,90.4,Delivered
D0000347,O0000347,2025-08-20,2025-08-24,37.86,In Transit
D0000348,O0000348,2025-03-13,2025-03-05,124.27,In Transit
D0000349,O0000349,2025-11-07,2025-11-02,25.33,Delivered
D0000350,O0000350,2025-04-03,2025-04-09,84.07,Delivered
D0000351,O0000351,2025-04-07,2025-04-12,94.95,In Transit
D0000352,O0000352,2025-01-10,2025-01-07,36.17,Delivered
D0000353,O0000353,2025-05-09,2025-05-09,75.96,Delivered
D0000354,O0000354,2025-08-05,2025-08-05,42.97,Delivered
D0000355,O0000355,2025-09-24,2025-09-20,236.15,Delivered
D0000356,O0000356,2025-12-04,2025-12-05,46.99,In Transit
D0000357,O0000357,2025-10-21,2025-10-25,90.43,Delivered
D0000358,O0000358,2025-05-07,2025-05-02,37.56,Delivered
D0000359,O0000359,2025-11-03,2025-10-31,139.95,Delivered
D0000360,O0000360,2025-03-19,2025-03-16,110.15,Delivered
D0000361,O0000361,2025-03-25,2025-03-31,72.16,Delivered
D0000362,O0000362,2025-05-17,2025-05-24,35.89,In Transit
D0000363,O0000363,2025-07-26,2025-07-18,38.77,Delivered
D0000364,O0000364,2025-03-24,2025-03-19,71.52,In Transit
D0000365,O0000365,2025-12-04,2025-12-10,52.86,Delivered
D0000366,O0000366,2025-04-15,2025-04-24,48.24,Delivered
D0000367,O0000367,2025-05-31,2025-05-30,44.32,Delivered
D0000368,O0000368,2025-08-16,2025-08-17,57.31,In Transit
D0000369,O0000369,2025-06-15,2025-06-15,44.18,Delivered
D0000370,O0000370,2025-06-06,2025-06-03,47.48,In Transit
D0000371,O0000371,2025-12-31,2026-01-07,61.66,Delivered
D0000372,O0000372,2025-06-13,2025-06-19,21.42,Cancelled
D0000373,O0000373,2025-02-18,2025-02-20,180.92,Delivered
D0000374,O0000374,2025-09-29,2025-09-27,28.4,Delivered
D0000375,O0000375,2025-09-24,2025-09-24,65.48,Delivered
D0000376,O0000376,2025-03-24,2025-04-05,115.14,Delivered
D0000377,O0000377,2025-11-10,2025-11-15,28.58,Delivered
D0000378,O0000378,2025-06-01,2025-05-29,34.47,Delivered
D0000379,O0000379,2025-03-06,2025-03-11,46.25,Cancelled
D0000380,O0000380,2025-03-08,2025-03-05,62.89,Delivered
D0000381,O0000381,2025-09-24,2025-09-20,140.9,Delivered
D0000382,O0000382,2025-03-30,2025-04-04,69.99,Delivered
D0000383,O0000383,2025-07-01,2025-06-29,77.65,Delivered
D0000384,O0000384,2025-10-01,2025-10-10,228.62,Delivered
D0000385,O0000385,2025-11-17,2025-11-10,58.03,Delivered
D0000386,O0000386,2025-07-07,2025-07-05,48.26,In Transit
D0000387,O0000387,2025-12-07,2025-12-05,59.03,Delivered
D0000388,O0000388,2025-05-01,2025-05-01,61.93,Delivered
D0000389,O0000389,2025-11-22,2025-11-16,62.8,In Transit
D0000390,O0000390,2025-04-10,2025-04-14,104.65,Delivered
D0000391,O0000391,2025-01-31,2025-01-31,49.97,Delivered
D0000392,O0000392,2025-09-30,2025-09-26,90.06,Delivered
D0000393,O0000393,2025-10-08,2025-10-11,62.07,Delivered
D0000394,O0000394,2025-12-14,2025-12-08,32.62,Delivered
D0000395,O0000395,2025-12-07,2025-12-16,98.25,Delivered
D0000396,O0000396,2025-02-13,2025-02-17,59.86,Delivered
D0000397,O0000397,2025-08-21,2025-08-26,38.4,Delivered
D0000398,O0000398,2025-09-18,2025-09-22,59.35,In Transit
D0000399,O0000399,2025-08-15,2025-08-12,92.53,In Transit
D0000400,O0000400,2025-01-10,2025-01-15,77.55,In Transit
D0000401,O0000401,2025-01-25,2025-01-31,285.61,Delivered
D0000402,O0000402,2025-09-07,2025-09-09,118.45,Delivered
D0000403,O0000403,2025-11-18,2025-11-13,109.93,Delivered
D0000404,O0000404,2025-03-13,2025-03-15,45.97,Delivered
D0000405,O0000405,2025-01-23,2025-01-24,133.8,In Transit
D0000406,O0000406,2025-06-01,2025-06-05,44.07,Delivered
D0000407,O0000407,2025-05-05,2025-05-01,262.63,Delivered
D0000408,O0000408,2026-01-04,2026-01-06,54.9,In Transit
D0000409,O0000409,2025-12-12,2025-12-13,56.18,Delivered
D0000410,O0000410,2025-07-30,2025-07-28,136.79,Delivered
D0000411,O0000411,2025-12-23,2025-12-24,86.77,In Transit
D0000412,O0000412,2025-03-28,2025-04-08,66.65,Delivered
D0000413,O0000413,2026-01-07,2026-01-06,120.03,Delivered
D0000414,O0000414,2025-06-17,2025-06-27,66.66,In Transit
D0000415,O0000415,2025-07-02,2025-07-03,49.68,Delivered
D0000416,O0000416,2025-01-22,2025-02-03,163.3,Delivered
D0000417,O0000417,2025-03-13,2025-03-08,225.34,Delivered
D0000418,O0000418,2025-03-22,2025-03-22,54.97,In Transit
D0000419,O0000419,2025-07-03,2025-07-01,191.44,Delivered
D0000420,O0000420,2025-03-17,2025-03-20,120.96,Cancelled
D0000421,O0000421,2025-02-12,2025-02-13,80.21,Cancelled
