product_id,product_name,category,unit_price
P0137,Product 0137,Automotive,41.34
P0138,Product 0138,Spare Parts,28.23
P0139,Product 0139,Machinery,22.2
P0140,Product 0140,Spare Parts,8.92
P0141,Product 0141,Automotive,37.32
P0142,Product 0142,Packaging,25.27
P0143,Product 0143,Automotive,18.37
P0144,Product 0144,Spare Parts,60.01
P0145,Product 0145,Packaging,9.03
P0146,Product 0146,Automotive,77.54
P0147,Product 0147,Electronics,24.15
P0148,Product 0148,Electronics,30.64
P0149,Product 0149,Automotive,18.61
P0150,Product 0150,Automotive,7.64
P0151,Product 0151,Spare Parts,22.25
P0152,Product 0152,Spare Parts,31.01
P0153,Product 0153,Machinery,39.38
P0154,Product 0154,Spare Parts,21.36
P0155,Product 0155,Packaging,5.29
P0156,Product 0156,Automotive,8.34
P0157,Product 0157,Packaging,103.17
P0158,Product 0158,Automotive,11.42
P0159,Product 0159,Spare Parts,66.62
P0160,Product 0160,Electronics,12.76
P0161,Product 0161,Automotive,21.59
P0162,Product 0162,Electronics,38.0
P0163,Product 0163,Packaging,13.82
P0164,Product 0164,Spare Parts,74.78
P0165,Product 0165,Machinery,25.87
P0166,Product 0166,Automotive,33.87
P0167,Product 0167,Spare Parts,20.34
P0168,Product 0168,Packaging,38.9
P0169,Product 0169,Machinery,74.08
P0170,Product 0170,Machinery,22.38
P0171,Product 0171,Spare Parts,82.34
P0172,Product 0172,Electronics,15.99
P0173,Product 0173,Automotive,41.88
P0174,Product 0174,Automotive,34.55
P0175,Product 0175,Packaging,11.61
P0176,Product 0176,Spare Parts,28.49
P0177,Product 0177,Packaging,24.66
P0178,Product 0178,Packaging,13.5
P0179,Product 0179,Electronics,31.52
P0180,Product 0180,Machinery,27.18
P0181,Product 0181,Automotive,23.32
P0182,Product 0182,Electronics,23.38
P0183,Product 0183,Packaging,23.03
P0184,Product 0184,Spare Parts,18.97
P0185,Product 0185,Spare Parts,27.06
P0186,Product 0186,Spare Parts,15.63
P0187,Product 0187,Automotive,157.55
P0188,Product 0188,Spare Parts,9.15
P0189,Product 0189,Electronics,16.29
P0190,Product 0190,Packaging,17.22
P0191,Product 0191,Spare Parts,102.34
P0192,Product 0192,Spare Parts,9.74
P0193,Product 0193,Packaging,33.05
P0194,Product 0194,Electronics,29.19
P0195,Product 0195,Machinery,30.99
P0196,Product 0196,Packaging,58.29
P0197,Product 0197,Machinery,57.46
P0198,Product 0198,Machinery,17.89
P0199,Product 0199,Machinery,28.1
P0200,Product 0200,Machinery,6.65
P0201,Product 0201,Automotive,26.29
P0202,Product 0202,Spare Parts,14.07
P0203,Product 0203,Automotive,21.53
P0204,Product 0204,Spare Parts,7.54
P0205,Product 0205,Automotive,32.57
P0206,Product 0206,Machinery,7.48
P0207,Product 0207,Machinery,27.22
P0208,Product 0208,Machinery,10.4
P0209,Product 0209,Machinery,13.53
P0210,Product 0210,Spare Parts,55.05
P0211,Product 0211,Automotive,37.02
P0212,Product 0212,Spare Parts,54.84
P0213,Product 0213,Packaging,73.1
P0214,Product 0214,Packaging,14.28
P0215,Product 0215,Automotive,70.05
P0216,Product 0216,Automotive,8.79
P0217,Product 0217,Electronics,41.36
P0218,Product 0218,Electronics,17.37
P0219,Product 0219,Packaging,12.79
P0220,Product 0220,Spare Parts,37.72
P0221,Product 0221,Machinery,47.53
P0222,Product 0222,Packaging,46.56
P0223,Product 0223,Automotive,28.51
P0224,Product 0224,Packaging,26.91
P0225,Product 0225,Automotive,35.47
P0226,Product 0226,Packaging,30.35
P0227,Product 0227,Electronics,35.84
P0228,Product 0228,Machinery,28.3
P0229,Product 0229,Electronics,44.25
P0230,Product 0230,Machinery,7.85
P0231,Product 0231,Spare Parts,22.38
P0232,Product 0232,Spare Parts,9.31
P0233,Product 0233,Electronics,29.78
P0234,Product 0234,Electronics,77.43
P0235,Product 0235,Machinery,17.6
P0236,Product 0236,Packaging,26.82
P0237,Product 0237,Automotive,41.66
P0238,Product 0238,Packaging,5.77
P0239,Product 0239,Spare Parts,17.02
P0240,Product 0240,Spare Parts,31.66
P0241,Product 0241,Machinery,3.23
P0242,Product 0242,Electronics,12.38
P0243,Product 0243,Electronics,53.02
P0244,Product 0244,Packaging,49.51
P0245,Product 0245,Machinery,31.88
P0246,Product 0246,Automotive,45.49
P0247,Product 0247,Packaging,28.52
P0248,Product 0248,Automotive,36.19
P0249,Product 0249,Spare Parts,19.67
P0250,Product 0250,Machinery,26.6
P0251,Product 0251,Electronics,15.76
P0252,Product 0252,Automotive,59.41
P0253,Product 0253,Automotive,71.17
P0254,Product 0254,Spare Parts,64.45
P0255,Product 0255,Machinery,18.44
P0256,Product 0256,Spare Parts,12.58
P0257,Product 0257,Spare Parts,59.97
P0258,Product 0258,Automotive,35.9
P0259,Product 0259,Electronics,30.88
P0260,Product 0260,Spare Parts,15.74
P0261,Product 0261,Machinery,33.05
P0262,Product 0262,Machinery,11.48
P0263,Product 0263,Machinery,38.24
P0264,Product 0264,Packaging,64.41
P0265,Product 0265,Spare Parts,76.84
P0266,Product 0266,Spare Parts,40.28
P0267,Product 0267,Packaging,9.32
P0268,Product 0268,Machinery,28.17
P0269,Product 0269,Electronics,109.7
P0270,Product 0270,Automotive,13.36
P0271,Product 0271,Packaging,23.54
P0272,Product 0272,Automotive,65.99
P0273,Product 0273,Packaging,37.79
P0274,Product 0274,Machinery,139.23
P0275,Product 0275,Packaging,14.69
P0276,Product 0276,Spare Parts,12.27
P0277,Product 0277,Machinery,57.79
P0278,Product 0278,Machinery,10.62
P0279,Product 0279,Machinery,21.38
P0280,Product 0280,Electronics,23.43
P0281,Product 0281,Automotive,50.66
P0282,Product 0282,Automotive,37.71
P0283,Product 0283,Packaging,33.78
P0284,Product 0284,Spare Parts,18.51
P0285,Product 0285,Automotive,57.43
P0286,Product 0286,Electronics,410.79
P0287,Product 0287,Packaging,39.8
P0288,Product 0288,Packaging,26.31
P0289,Product 0289,Packaging,9.89
P0290,Product 0290,Packaging,15.7
P0291,Product 0291,Automotive,21.12
P0292,Product 0292,Electronics,16.87
P0293,Product 0293,Machinery,24.26
P0294,Product 0294,Automotive,85.17
P0295,Product 0295,Electronics,58.73
P0296,Product 0296,Electronics,21.95
P0297,Product 0297,Spare Parts,10.53
P0298,Product 0298,Electronics,62.56
P0299,Product 0299,Spare Parts,23.7
P0300,Product 0300,Packaging,7.33
P0301,Product 0301,Packaging,40.39
P0302,Product 0302,Spare Parts,50.3
P0303,Product 0303,Spare Parts,4.49
P0304,Product 0304,Electronics,13.77
P0305,Product 0305,Machinery,22.71
P0306,Product 0306,Machinery,41.02
P0307,Product 0307,Spare Parts,17.1
P0308,Product 0308,Automotive,13.7
P0309,Product 0309,Machinery,40.81
P0310,Product 0310,Electronics,17.68
P0311,Product 0311,Electronics,35.85
P0312,Product 0312,Packaging,11.27
P0313,Product 0313,Electronics,9.52
P0314,Product 0314,Packaging,41.62
P0315,Product 0315,Spare Parts,29.28
P0316,Product 0316,Packaging,46.79
P0317,Product 0317,Automotive,16.9
P0318,Product 0318,Automotive,14.06
P0319,Product 0319,Machinery,63.59
P0320,Product 0320,Machinery,8.45
P0321,Product 0321,Packaging,58.91
P0322,Product 0322,Machinery,61.83
P0323,Product 0323,Automotive,44.79
P0324,Product 0324,Spare Parts,15.16
P0325,Product 0325,Spare Parts,13.85
P0326,Product 0326,Packaging,21.18
P0327,Product 0327,Packaging,9.91
P0328,Product 0328,Spare Parts,12.51
P0329,Product 0329,Machinery,38.53
P0330,Product 0330,Automotive,38.65
P0331,Product 0331,Packaging,11.77
P0332,Product 0332,Machinery,39.38
P0333,Product 0333,Packaging,33.72
P0334,Product 0334,Packaging,70.59
P0335,Product 0335,Machinery,36.54
P0336,Product 0336,Electronics,51.47
P0337,Product 0337,Machinery,34.26
P0338,Product 0338,Packaging,48.71
P0339,Product 0339,Packaging,9.96
P0340,Product 0340,Machinery,22.53
P0341,Product 0341,Machinery,23.87
P0342,Product 0342,Spare Parts,20.68
P0343,Product 0343,Electronics,33.47
P0344,Product 0344,Automotive,38.25
P0345,Product 0345,Packaging,32.28
P0346,Product 0346,Spare Parts,21.67
P0347,Product 0347,Packaging,14.66
P0348,Product 0348,Machinery,52.88
P0349,Product 0349,Electronics,31.34
P0350,Product 0350,Machinery,12.02
P0351,Product 0351,Automotive,21.42
P0352,Product 0352,Machinery,7.24
P0353,Product 0353,Electronics,25.15
P0354,Product 0354,Electronics,21.35
P0355,Product 0355,Machinery,16.41
P0356,Product 0356,Spare Parts,74.38
P0357,Product 0357,Electronics,10.92
P0358,Product 0358,Spare Parts,40.22
P0359,Product 0359,Machinery,113.37
P0360,Product 0360,Spare Parts,52.15
P0361,Product 0361,Electronics,24.0
P0362,Product 0362,Spare Parts,11.09
P0363,Product 0363,Packaging,9.46
P0364,Product 0364,Packaging,18.39
P0365,Product 0365,Machinery,15.17
P0366,Product 0366,Machinery,14.83
P0367,Product 0367,Machinery,19.52
P0368,Product 0368,Spare Parts,22.84
P0369,Product 0369,Packaging,34.45
P0370,Product 0370,Automotive,10.31
P0371,Product 0371,Packaging,15.22
P0372,Product 0372,Spare Parts,21.94
P0373,Product 0373,Packaging,21.4
P0374,Product 0374,Machinery,88.72
P0375,Product 0375,Electronics,28.86
P0376,Product 0376,Packaging,7.93
P0377,Product 0377,Packaging,32.88
P0378,Product 0378,Electronics,35.94
P0379,Product 0379,Machinery,22.48
P0380,Product 0380,Electronics,10.49
P0381,Product 0381,Automotive,83.99
P0382,Product 0382,Automotive,11.6
P0383,Product 0383,Automotive,38.96
P0384,Product 0384,Machinery,28.22
P0385,Product 0385,Machinery,37.36
P0386,Product 0386,Machinery,81.03
P0387,Product 0387,Spare Parts,36.35
P0388,Product 0388,Electronics,16.59
P0389,Product 0389,Electronics,53.21
P0390,Product 0390,Electronics,15.77
P0391,Product 0391,Electronics,27.51
P0392,Product 0392,Machinery,9.92
P0393,Product 0393,Electronics,11.9
P0394,Product 0394,Electronics,25.43
P0395,Product 0395,Packaging,31.74
P0396,Product 0396,Spare Parts,7.45
P0397,Product 0397,Electronics,34.75
P0398,Product 0398,Automotive,13.82
P0399,Product 0399,Electronics,60.09
P0400,Product 0400,Machinery,19.18
P0401,Product 0401,Spare Parts,11.17
P0402,Product 0402,Automotive,25.87
P0403,Product 0403,Automotive,12.92
P0404,Product 0404,Machinery,59.64
P0405,Product 0405,Spare Parts,24.54
P0406,Product 0406,Machinery,22.06
P0407,Product 0407,Spare Parts,37.12
P0408,Product 0408,Packaging,12.14
P0409,Product 0409,Automotive,9.95
P0410,Product 0410,Machinery,32.65
P0411,Product 0411,Packaging,11.36
P0412,Product 0412,Machinery,11.36
P0413,Product 0413,Automotive,44.07
P0414,Product 0414,Automotive,35.43
P0415,Product 0415,Packaging,10.2
P0416,Product 0416,Machinery,15.9
P0417,Product 0417,Machinery,13.03
P0418,Product 0418,Electronics,85.07
P0419,Product 0419,Electronics,46.26
P0420,Product 0420,Packaging,18.27
P0421,Product 0421,Automotive,36.72
P0422,Product 0422,Machinery,9.49
P0423,Product 0423,Electronics,15.32
P0424,Product 0424,Packaging,26.4
P0425,Product 0425,Packaging,33.67
P0426,Product 0426,Machinery,22.91
P0427,Product 0427,Electronics,29.18
P0428,Product 0428,Electronics,25.92
P0429,Product 0429,Electronics,21.88
P0430,Product 0430,Electronics,19.94
P0431,Product 0431,Packaging,18.2
P0432,Product 0432,Automotive,28.86
P0433,Product 0433,Automotive,32.71
P0434,Product 0434,Machinery,28.19
P0435,Product 0435,Electronics,10.75
P0436,Product 0436,Spare Parts,12.19
P0437,Product 0437,Packaging,32.43
P0438,Product 0438,Packaging,68.73
P0439,Product 0439,Machinery,27.29
P0440,Product 0440,Machinery,18.39
P0441,Product 0441,Machinery,28.7
P0442,Product 0442,Automotive,11.07
P0443,Product 0443,Machinery,61.33
P0444,Product 0444,Spare Parts,27.96
P0445,Product 0445,Electronics,15.35
P0446,Product 0446,Automotive,21.83
P0447,Product 0447,Machinery,16.96
P0448,Product 0448,Electronics,61.45
P0449,Product 0449,Packaging,21.29
P0450,Product 0450,Spare Parts,27.35
P0451,Product 0451,Spare Parts,36.66
P0452,Product 0452,Electronics,14.61
P0453,Product 0453,Spare Parts,28.1
P0454,Product 0454,Automotive,29.73
P0455,Product 0455,Electronics,8.27
P0456,Product 0456,Electronics,29.28
P0457,Product 0457,Spare Parts,23.76
P0458,Product 0458,Packaging,26.87
P0459,Product 0459,Electronics,25.15
P0460,Product 0460,Automotive,29.41
P0461,Product 0461,Packaging,62.56
P0462,Product 0462,Packaging,10.74
P0463,Product 0463,Spare Parts,19.31
P0464,Product 0464,Machinery,39.12
P0465,Product 0465,Automotive,34.35
P0466,Product 0466,Electronics,33.84
P0467,Product 0467,Packaging,168.6
P0468,Product 0468,Electronics,37.71
P0469,Product 0469,Automotive,54.14
P0470,Product 0470,Spare Parts,19.79
P0471,Product 0471,Machinery,12.24
P0472,Product 0472,Electronics,19.69
P0473,Product 0473,Machinery,40.38
P0474,Product 0474,Packaging,32.62
P0475,Product 0475,Automotive,32.53
P0476,Product 0476,Machinery,21.11
P0477,Product 0477,Electronics,18.88
P0478,Product 0478,Automotive,21.63
P0479,Product 0479,Automotive,40.74
P0480,Product 0480,Machinery,44.19
P0481,Product 0481,Machinery,12.13
P0482,Product 0482,Machinery,41.83
P0483,Product 0483,Packaging,15.56
P0484,Product 0484,Machinery,34.06
P0485,Product 0485,Machinery,21.45
P0486,Product 0486,Spare Parts,73.41
P0487,Product 0487,Packaging,18.31
P0488,Product 0488,Spare Parts,27.8
P0489,Product 0489,Electronics,37.51
P0490,Product 0490,Packaging,13.31
P0491,Product 0491,Packaging,23.31
P0492,Product 0492,Machinery,20.36
P0493,Product 0493,Automotive,17.12
P0494,Product 0494,Machinery,18.03
P0495,Product 0495,Spare Parts,53.43
P0496,Product 0496,Packaging,16.14
P0497,Product 0497,Automotive,36.47
P0498,Product 0498,Electronics,30.58
P0499,Product 0499,Machinery,9.23
P0500,Product 0500,Spare Parts,35.28
P0501,Product 0501,Machinery,9.12
P0502,Product 0502,Spare Parts,38.08
P0503,Product 0503,Packaging,17.2
P0504,Product 0504,Electronics,24.68
P0505,Product 0505,Automotive,9.91
P0506,Product 0506,Spare Parts,26.73
P0507,Product 0507,Machinery,46.94
P0508,Product 0508,Spare Parts,13.95
P0509,Product 0509,Spare Parts,16.04
P0510,Product 0510,Machinery,33.72
P0511,Product 0511,Automotive,34.32
P0512,Product 0512,Spare Parts,4.46
P0513,Product 0513,Machinery,100.56
P0514,Product 0514,Automotive,35.52
P0515,Product 0515,Machinery,39.96
P0516,Product 0516,Automotive,22.19
P0517,Product 0517,Electronics,6.69
P0518,Product 0518,Electronics,39.34
P0519,Product 0519,Machinery,16.52
P0520,Product 0520,Machinery,35.9
P0521,Product 0521,Spare Parts,21.05
P0522,Product 0522,Electronics,28.98
P0523,Product 0523,Packaging,14.26
P0524,Product 0524,Spare Parts,44.93
P0525,Product 0525,Packaging,10.68
P0526,Product 0526,Electronics,118.14
P0527,Product 0527,Packaging,117.51
P0528,Product 0528,Electronics,76.93
P0529,Product 0529,Machinery,59.91
P0530,Product 0530,Packaging,23.12
P0531,Product 0531,Electronics,55.51
P0532,Product 0532,Automotive,22.94
P0533,Product 0533,Spare Parts,8.27
P0534,Product 0534,Packaging,70.26
P0535,Product 0535,Automotive,54.06
P0536,Product 0536,Electronics,24.0
P0537,Product 0537,Electronics,10.41
P0538,Product 0538,Spare Parts,16.28
P0539,Product 0539,Spare Parts,6.86
P0540,Product 0540,Packaging,47.54
P0541,Product 0541,Machinery,7.99
P0542,Product 0542,Automotive,29.99
P0543,Product 0543,Electronics,13.59
P0544,Product 0544,Automotive,9.04
P0545,Product 0545,Packaging,28.99
P0546,Product 0546,Automotive,19.42
P0547,Product 0547,Packaging,44.11
P0548,Product 0548,Spare Parts,10.1
P0549,Product 0549,Electronics,14.44
P0550,Product 0550,Packaging,4.61
P0551,Product 0551,Spare Parts,5.32
P0552,Product 0552,Machinery,86.38
P0553,Product 0553,Machinery,105.48
P0554,Product 0554,Electronics,26.18
P0555,Product 0555,Machinery,13.78
P0556,Product 0556,Spare Parts,19.91
P0557,Product 0557,Packaging,45.22
P0558,Product 0558,Electronics,17.11
P0559,Product 0559,Machinery,28.97
P0560,Product 0560,Packaging,24.31
P0561,Product 0561,Automotive,16.47
P0562,Product 0562,Packaging,16.97
P0563,Product 0563,Electronics,30.12
P0564,Product 0564,Electronics,12.38
P0565,Product 0565,Machinery,33.66
P0566,Product 0566,Machinery,17.64
P0567,Product 0567,Spare Parts,26.82
P0568,Product 0568,Electronics,64.64
P0569,Product 0569,Electronics,21.81
P0570,Product 0570,Electronics,46.71
P0571,Product 0571,Spare Parts,7.0
P0572,Product 0572,Spare Parts,17.65
P0573,Product 0573,Machinery,25.01
P0574,Product 0574,Packaging,94.29
P0575,Product 0575,Spare Parts,6.22
P0576,Product 0576,Spare Parts,22.93
P0577,Product 0577,Packaging,68.01
P0578,Product 0578,Machinery,14.16
P0579,Product 0579,Spare Parts,21.14
P0580,Product 0580,Electronics,30.95
P0581,Product 0581,Electronics,27.91
P0582,Product 0582,Packaging,73.41
P0583,Product 0583,Automotive,33.58
P0584,Product 0584,Machinery,62.14
P0585,Product 0585,Spare Parts,19.07
P0586,Product 0586,Automotive,14.61
P0587,Product 0587,Spare Parts,20.95
P0588,Product 0588,Machinery,10.9
P0589,Product 0589,Spare Parts,34.41
P0590,Product 0590,Packaging,18.73
P0591,Product 0591,Automotive,15.33
P0592,Product 0592,Packaging,34.78
P0593,Product 0593,Automotive,11.02
P0594,Product 0594,Electronics,42.07
P0595,Product 0595,Spare Parts,17.55
P0596,Product 0596,Spare Parts,55.22
P0597,Product 0597,Automotive,18.64
P0598,Product 0598,Electronics,38.18
P0599,Product 0599,Automotive,27.82
P0600,Product 0600,Electronics,41.29
P0601,Product 0601,Spare Parts,26.5
P0602,Product 0602,Automotive,7.66
P0603,Product 0603,Packaging,49.71
P0604,Product 0604,Spare Parts,23.07
P0605,Product 0605,Spare Parts,42.63
P0606,Product 0606,Electronics,39.77
P0607,Product 0607,Packaging,14.28
P0608,Product 0608,Machinery,12.93
P0609,Product 0609,Automotive,38.81
P0610,Product 0610,Electronics,19.84
P0611,Product 0611,Packaging,47.25
P0612,Product 0612,Packaging,21.66
P0613,Product 0613,Machinery,50.22
P0614,Product 0614,Packaging,32.99
P0615,Product 0615,Packaging,30.01
P0616,Product 0616,Electronics,18.88
P0617,Product 0617,Electronics,28.87
P0618,Product 0618,Spare Parts,56.54
P0619,Product 0619,Spare Parts,23.62
P0620,Product 0620,Automotive,35.58
P0621,Product 0621,Packaging,25.34
P0622,Product 0622,Automotive,26.77
P0623,Product 0623,Spare Parts,81.97
P0624,Product 0624,Machinery,56.9
P0625,Product 0625,Packaging,25.93
P0626,Product 0626,Packaging,28.51
P0627,Product 0627,Packaging,15.01
P0628,Product 0628,Electronics,21.73
P0629,Product 0629,Spare Parts,30.46
P0630,Product 0630,Machinery,44.5
P0631,Product 0631,Machinery,41.45
P0632,Product 0632,Electronics,11.29
P0633,Product 0633,Automotive,48.61
P0634,Product 0634,Machinery,23.05
P0635,Product 0635,Electronics,12.29
P0636,Product 0636,Packaging,62.52
P0637,Product 0637,Electronics,68.33
P0638,Product 0638,Spare Parts,29.51
P0639,Product 0639,Packaging,40.29
P0640,Product 0640,Machinery,41.98
P0641,Product 0641,Packaging,65.17
P0642,Product 0642,Packaging,40.84
P0643,Product 0643,Packaging,9.69
P0644,Product 0644,Machinery,100.17
P0645,Product 0645,Spare Parts,51.73
P0646,Product 0646,Electronics,17.17
P0647,Product 0647,Machinery,11.93
P0648,Product 0648,Electronics,34.93
P0649,Product 0649,Machinery,20.19
P0650,Product 0650,Spare Parts,30.91
P0651,Product 0651,Packaging,41.28
P0652,Product 0652,Electronics,16.5
P0653,Product 0653,Spare Parts,11.23
P0654,Product 0654,Packaging,32.14
P0655,Product 0655,Machinery,16.89
P0656,Product 0656,Automotive,27.17
P0657,Product 0657,Machinery,9.58
P0658,Product 0658,Spare Parts,20.56
P0659,Product 0659,Machinery,40.47
P0660,Product 0660,Automotive,37.49
P0661,Product 0661,Automotive,14.13
P0662,Product 0662,Spare Parts,10.83
P0663,Product 0663,Machinery,24.8
P0664,Product 0664,Packaging,36.33
P0665,Product 0665,Electronics,32.58
P0666,Product 0666,Automotive,17.14
P0667,Product 0667,Machinery,30.22
P0668,Product 0668,Packaging,70.22
P0669,Product 0669,Electronics,28.32
P0670,Product 0670,Packaging,7.82
P0671,Product 0671,Machinery,28.28
P0672,Product 0672,Electronics,102.59
P0673,Product 0673,Electronics,9.96
P0674,Product 0674,Electronics,25.05
P0675,Product 0675,Electronics,20.94
P0676,Product 0676,Packaging,26.24
P0677,Product 0677,Electronics,28.11
P0678,Product 0678,Packaging,54.49
P0679,Product 0679,Electronics,26.03
P0680,Product 0680,Electronics,59.98
P0681,Product 0681,Spare Parts,22.59
P0682,Product 0682,Spare Parts,19.2
P0683,Product 0683,Machinery,15.36
P0684,Product 0684,Electronics,6.88
P0685,Product 0685,Packaging,29.76
P0686,Product 0686,Automotive,103.32
P0687,Product 0687,Machinery,33.81
P0688,Product 0688,Machinery,39.68
P0689,Product 0689,Packaging,18.37
P0690,Product 0690,Automotive,20.68
P0691,Product 0691,Automotive,48.87
P0692,Product 0692,Electronics,100.09
P0693,Product 0693,Automotive,69.52
P0694,Product 0694,Machinery,43.11
P0695,Product 0695,Spare Parts,25.14
P0696,Product 0696,Electronics,28.41
P0697,Product 0697,Machinery,14.48
P0698,Product 0698,Electronics,8.9
P0699,Product 0699,Automotive,11.15
P0700,Product 0700,Packaging,25.4
P0701,Product 0701,Electronics,20.0
P0702,Product 0702,Machinery,8.77
P0703,Product 0703,Packaging,23.9
P0704,Product 0704,Spare Parts,19.63
P0705,Product 0705,Automotive,10.79
P0706,Product 0706,Machinery,18.93
P0707,Product 0707,Spare Parts,19.6
P0708,Product 0708,Machinery,15.93
P0709,Product 0709,Automotive,46.93
P0710,Product 0710,Electronics,6.48
P0711,Product 0711,Packaging,6.11
P0712,Product 0712,Packaging,24.59
P0713,Product 0713,Electronics,26.24
P0714,Product 0714,Automotive,32.56
P0715,Product 0715,Electronics,16.82
P0716,Product 0716,Electronics,12.9
P0717,Product 0717,Packaging,24.41
P0718,Product 0718,Spare Parts,18.01
P0719,Product 0719,Automotive,72.66
P0720,Product 0720,Packaging,19.55
P0721,Product 0721,Packaging,23.64
