order_id,order_date,customer_id,product_id,warehouse_id,supplier_id,carrier_id,quantity,unit_price,order_value,status
O0000067,2025-10-24,C02621,P0675,W05,S061,T13,47,20.94,984.18,Delivered
O0000068,2025-11-28,C03545,P0218,W07,S066,T08,3,17.37,52.11,Delivered
O0000069,2025-05-20,C03770,P0115,W10,S041,T02,9,24.19,217.71,Delivered
O0000070,2025-09-06,C04031,P0608,W09,S080,T12,50,12.93,646.5,In Transit
O0000071,2025-12-26,C03303,P0988,W11,S019,T03,41,31.36,1285.76,Delivered
O0000072,2025-01-05,C00216,P0034,W08,S050,T13,36,20.94,753.84,Delivered
O0000073,2025-05-14,C02839,P0427,W11,S001,T10,29,29.18,846.22,Delivered
O0000074,2025-09-27,C03553,P0003,W10,S046,T09,4,26.58,106.32,Delivered
O0000075,2025-07-01,C04606,P0559,W01,S051,T06,49,28.97,1419.53,Delivered
O0000076,2025-10-17,C03056,P0935,W03,S004,T07,22,33.2,730.4,Delivered
O0000077,2025-06-23,C02798,P0185,W07,S026,T15,17,27.06,460.02,Delivered
O0000078,2025-01-24,C00788,P0137,W02,S020,T11,25,41.34,1033.5,In Transit
O0000079,2025-06-08,C04189,P0703,W12,S003,T14,44,23.9,1051.6,Delivered
O0000080,2025-05-28,C02034,P0893,W08,S049,T06,49,56.93,2789.57,Cancelled
O0000081,2025-11-05,C04430,P0372,W08,S015,T11,42,21.94,921.48,Delivered
O0000082,2025-02-23,C00886,P0039,W05,S001,T15,11,46.65,513.15,Delivered
O0000083,2025-02-26,C03932,P0298,W05,S074,T10,34,62.56,2127.04,Delivered
O0000084,2025-02-21,C01495,P0197,W03,S030,T04,32,57.46,1838.72,Delivered
O0000085,2025-07-27,C00750,P0649,W10,S065,T01,48,20.19,969.12,Delivered
O0000086,2025-12-30,C04576,P0953,W08,S037,T02,10,19.26,192.6,Delivered
O0000087,2025-08-14,C03876,P0293,W04,S022,T06,12,24.26,291.12,Delivered
O0000088,2025-10-25,C04325,P0219,W03,S061,T04,42,12.79,537.18,Delivered
O0000089,2025-11-07,C03937,P0616,W08,S042,T11,7,18.88,132.16,Delivered
O0000090,2025-08-08,C02923,P0530,W02,S057,T06,42,23.12,971.04,Delivered
O0000091,2025-08-11,C03369,P0584,W07,S030,T07,47,62.14,2920.58,Delivered
O0000092,2025-03-30,C00251,P0526,W08,S044,T04,43,118.14,5080.02,Delivered
O0000093,2025-12-17,C01858,P0751,W01,S079,T15,12,19.17,230.04,Delivered
O0000094,2025-10-15,C01637,P0757,W06,S004,T01,49,17.91,877.59,Delivered
O0000095,2025-11-15,C01446,P0452,W10,S024,T08,40,14.61,584.4,Delivered
O0000096,2025-12-26,C01775,P0739,W02,S067,T06,23,69.48,1598.04,Delivered
O0000097,2025-05-08,C03254,P0792,W03,S031,T10,36,35.81,1289.16,Delivered
O0000098,2025-02-22,C03104,P0028,W09,S010,T08,41,36.12,1480.92,Delivered
O0000099,2025-11-10,C03649,P0426,W12,S037,T03,23,22.91,526.93,In Transit
O0000100,2025-06-22,C02147,P0898,W05,S023,T15,41,56.92,2333.72,In Transit
O0000101,2025-12-16,C04600,P0391,W09,S055,T07,28,27.51,770.28,Delivered
O0000102,2025-09-11,C02564,P0922,W08,S043,T01,39,15.43,601.77,Delivered
O0000103,2025-04-04,C01708,P0051,W10,S063,T04,43,27.68,1190.24,In Transit
O0000104,2025-05-10,C04453,P0989,W11,S064,T12,48,27.56,1322.88,Delivered
O0000105,2025-08-11,C01446,P0536,W10,S079,T12,14,24.0,336.0,Delivered
O0000106,2025-05-24,C04132,P0324,W02,S008,T01,50,15.16,758.0,Delivered
O0000107,2025-04-13,C03708,P0150,W01,S073,T14,25,7.64,191.0,Delivered
O0000108,2025-03-18,C04762,P0736,W10,S012,T07,22,13.35,293.7,Delivered
O0000109,2025-08-26,C04893,P0720,W12,S032,T07,37,19.55,723.35,Delivered
O0000110,2025-01-13,C00687,P0061,W04,S049,T02,34,21.85,742.9,Delivered
O0000111,2025-02-04,C01453,P0555,W10,S060,T03,49,13.78,675.22,Delivered
O0000112,2025-01-16,C02493,P0781,W01,S080,T07,23,37.33,858.59,Delivered
O0000113,2025-09-25,C01372,P0146,W11,S004,T01,32,77.54,2481.28,Delivered
O0000114,2025-01-11,C00777,P0558,W10,S056,T11,24,17.11,410.64,In Transit
O0000115,2025-06-03,C04469,P0380,W08,S023,T05,14,10.49,146.86,Delivered
O0000116,2025-02-14,C00017,P0907,W04,S048,T11,8,55.94,447.52,Delivered
O0000117,2025-08-03,C01324,P0570,W10,S053,T14,12,46.71,560.52,Cancelled
O0000118,2025-01-13,C04302,P0454,W05,S025,T04,45,29.73,1337.85,Cancelled
O0000119,2025-01-10,C02077,P0053,W12,S072,T05,4,20.82,83.28,Delivered
O0000120,2025-05-31,C01344,P0532,W05,S042,T15,30,22.94,688.2,Cancelled
O0000121,2025-09-11,C04961,P0548,W04,S004,T10,32,10.1,323.2,Delivered
O0000122,2025-02-10,C03342,P0383,W06,S015,T08,21,38.96,818.16,Cancelled
O0000123,2025-07-01,C04005,P0954,W11,S074,T08,35,15.13,529.55,Delivered
O0000124,2025-10-23,C01782,P0990,W01,S018,T01,36,64.49,2321.64,Delivered
O0000125,2025-08-17,C01250,P0429,W03,S045,T04,23,21.88,503.24,Delivered
O0000126,2025-10-01,C02159,P0210,W02,S077,T12,14,55.05,770.7,In Transit
O0000127,2025-04-26,C04763,P0990,W06,S068,T15,46,64.49,2966.54,Delivered
O0000128,2025-12-10,C02972,P0865,W09,S061,T02,11,41.49,456.39,In Transit
O0000129,2025-02-23,C04218,P0675,W08,S032,T03,41,20.94,858.54,Delivered
O0000130,2025-08-09,C04729,P0205,W11,S013,T04,19,32.57,618.83,Delivered
O0000131,2025-06-08,C04871,P0263,W01,S065,T02,3,38.24,114.72,Delivered
O0000132,2025-01-12,C04699,P0727,W09,S028,T02,1,30.04,30.04,Delivered
O0000133,2025-12-11,C02016,P0329,W11,S029,T15,44,38.53,1695.32,Delivered
O0000134,2025-09-14,C04744,P0125,W09,S041,T05,5,16.84,84.2,In Transit
O0000135,2025-03-25,C03336,P0199,W04,S050,T06,13,28.1,365.3,Delivered
O0000136,2025-01-20,C04531,P0998,W11,S061,T08,13,19.18,249.34,Delivered
O0000137,2025-09-04,C01910,P0052,W08,S012,T12,2,24.76,49.52,Delivered
O0000138,2025-07-18,C00046,P0068,W10,S021,T06,38,16.54,628.52,Delivered
O0000139,2025-01-19,C02211,P0295,W04,S054,T15,35,58.73,2055.55,Delivered
O0000140,2025-12-26,C01498,P0973,W05,S001,T13,45,30.27,1362.15,Delivered
O0000141,2025-09-20,C03357,P0092,W01,S023,T02,29,42.83,1242.07,Delivered
O0000142,2025-06-18,C03097,P0502,W05,S070,T03,21,38.08,799.68,Delivered
O0000143,2025-03-29,C02074,P0379,W05,S073,T08,27,22.48,606.96,Delivered
O0000144,2025-04-09,C03346,P0245,W07,S038,T13,6,31.88,191.28,Delivered
O0000145,2025-06-14,C02096,P0790,W09,S037,T04,42,21.71,911.82,Delivered
O0000146,2025-01-21,C03683,P0921,W02,S041,T09,9,61.42,552.78,In Transit
O0000147,2025-05-15,C02710,P0134,W11,S033,T08,23,42.01,966.23,Delivered
O0000148,2025-03-21,C01408,P0537,W08,S022,T10,17,10.41,176.97,Delivered
O0000149,2025-02-11,C00537,P0901,W09,S046,T09,17,21.09,358.53,Delivered
O0000150,2025-02-15,C00501,P0386,W07,S006,T14,19,81.03,1539.57,In Transit
O0000151,2025-05-07,C04930,P0544,W05,S022,T14,5,9.04,45.2,Delivered
O0000152,2025-05-20,C03931,P0700,W04,S030,T11,12,25.4,304.8,Delivered
O0000153,2025-05-08,C04135,P0911,W11,S032,T10,30,16.29,488.7,Delivered
O0000154,2025-09-09,C03192,P0548,W02,S036,T02,12,10.1,121.2,Delivered
O0000155,2025-07-10,C02413,P0344,W03,S016,T01,18,38.25,688.5,Delivered
O0000156,2025-03-12,C04135,P0441,W03,S057,T13,24,28.7,688.8,Delivered
O0000157,2025-12-21,C03780,P0269,W02,S024,T12,6,109.7,658.2,Delivered
O0000158,2025-09-24,C01282,P0143,W06,S067,T02,27,18.37,495.99,Delivered
O0000159,2025-06-21,C04988,P0777,W01,S061,T04,31,12.28,380.68,In Transit
O0000160,2025-01-18,C00572,P0776,W10,S038,T02,1,30.23,30.23,In Transit
O0000161,2025-11-30,C02583,P0866,W05,S069,T07,21,25.96,545.16,In Transit
O0000162,2025-09-29,C00563,P0259,W02,S068,T02,2,30.88,61.76,Delivered
O0000163,2025-06-18,C03619,P0905,W11,S005,T12,39,9.57,373.23,Delivered
O0000164,2025-03-01,C01908,P0830,W08,S024,T13,16,28.72,459.52,Delivered
O0000165,2025-02-09,C00425,P0958,W09,S064,T02,43,15.19,653.17,Delivered
O0000166,2025-04-16,C04009,P0251,W10,S011,T06,13,15.76,204.88,In Transit
O0000167,2025-03-26,C04782,P0327,W06,S022,T15,11,9.91,109.01,Delivered
O0000168,2025-03-18,C01752,P0400,W08,S012,T08,41,19.18,786.38,In Transit
O0000169,2025-05-29,C00830,P0395,W01,S016,T01,5,31.74,158.7,Delivered
O0000170,2025-01-18,C01523,P0954,W09,S002,T12,33,15.13,499.29,Delivered
O0000171,2025-04-29,C04005,P0895,W07,S028,T05,29,9.28,269.12,Delivered
O0000172,2025-11-14,C04279,P0063,W05,S068,T07,33,45.22,1492.26,Delivered
O0000173,2025-11-13,C02439,P0987,W06,S054,T07,6,49.85,299.1,Delivered
O0000174,2025-01-04,C02727,P0871,W01,S023,T08,28,3.34,93.52,In Transit
O0000175,2025-09-05,C03222,P0413,W11,S072,T09,31,44.07,1366.17,Delivered
O0000176,2025-12-28,C01833,P0493,W03,S075,T11,33,17.12,564.96,Delivered
O0000177,2025-07-31,C02981,P0520,W10,S011,T11,36,35.9,1292.4,Cancelled
O0000178,2025-05-23,C00298,P0900,W08,S077,T12,12,17.57,210.84,Delivered
O0000179,2025-06-29,C02078,P0472,W02,S049,T02,50,19.69,984.5,Delivered
O0000180,2025-03-19,C03635,P0854,W09,S065,T14,35,39.61,1386.35,Delivered
O0000181,2025-05-26,C04761,P0795,W06,S057,T09,48,32.5,1560.0,Delivered
O0000182,2025-12-08,C04477,P0502,W03,S043,T13,8,38.08,304.64,In Transit
O0000183,2025-08-12,C01551,P0699,W09,S044,T15,18,11.15,200.7,Delivered
O0000184,2025-06-07,C01034,P0812,W09,S048,T15,15,2.07,31.05,Cancelled
O0000185,2025-02-15,C01156,P0096,W12,S050,T07,50,44.35,2217.5,Cancelled
O0000186,2025-11-27,C01090,P0207,W12,S041,T08,36,27.22,979.92,Delivered
O0000187,2025-03-01,C04471,P0339,W09,S033,T04,44,9.96,438.24,Delivered
O0000188,2025-09-21,C00152,P0221,W01,S017,T05,27,47.53,1283.31,In Transit
O0000189,2025-04-21,C01471,P0524,W03,S041,T11,25,44.93,1123.25,Delivered
O0000190,2025-04-12,C03202,P0294,W04,S018,T08,30,85.17,2555.1,Cancelled
O0000191,2025-03-04,C00540,P0731,W11,S038,T13,2,30.81,61.62,Delivered
O0000192,2025-05-17,C01919,P0441,W05,S002,T04,47,28.7,1348.9,Delivered
O0000193,2025-09-05,C00784,P0955,W09,S039,T07,37,66.2,2449.4,Delivered
O0000194,2025-06-02,C01436,P0918,W01,S052,T11,24,19.56,469.44,Delivered
O0000195,2025-01-10,C01786,P0140,W01,S072,T01,25,8.92,223.0,Delivered
O0000196,2025-04-07,C03334,P0264,W06,S060,T03,13,64.41,837.33,Delivered
O0000197,2025-02-28,C04393,P0217,W04,S033,T02,31,41.36,1282.16,Delivered
O0000198,2025-05-27,C04926,P0253,W06,S080,T13,6,71.17,427.02,Cancelled
O0000199,2025-11-26,C03320,P0010,W11,S066,T09,34,3.58,121.72,Delivered
O0000200,2025-12-18,C03688,P0314,W07,S061,T15,23,41.62,957.26,Delivered
O0000201,2025-12-31,C00634,P0101,W03,S026,T05,7,36.69,256.83,Delivered
O0000202,2025-02-11,C03153,P0175,W05,S048,T05,37,11.61,429.57,Cancelled
O0000203,2025-06-27,C02677,P0299,W09,S004,T07,21,23.7,497.7,Delivered
O0000204,2025-01-17,C04888,P0691,W11,S011,T08,7,48.87,342.09,Delivered
O0000205,2025-06-30,C03114,P0193,W07,S057,T11,20,33.05,661.0,Delivered
O0000206,2025-07-30,C03985,P0297,W04,S033,T07,46,10.53,484.38,Delivered
O0000207,2025-10-10,C04041,P0825,W05,S016,T10,31,27.85,863.35,Delivered
O0000208,2025-05-03,C00600,P0814,W03,S064,T11,10,24.84,248.4,In Transit
O0000209,2025-01-14,C02819,P0819,W02,S021,T15,49,11.35,556.15,Delivered
O0000210,2025-06-15,C04467,P0956,W08,S005,T11,49,25.33,1241.17,In Transit
O0000211,2025-06-05,C01718,P0521,W10,S033,T01,43,21.05,905.15,Delivered
O0000212,2025-08-16,C03938,P0163,W11,S023,T11,50,13.82,691.0,Delivered
O0000213,2025-02-06,C04980,P0170,W10,S004,T04,38,22.38,850.44,Delivered
O0000214,2025-08-12,C04881,P0020,W05,S005,T07,26,24.39,634.14,Delivered
O0000215,2025-05-27,C01298,P0374,W04,S074,T10,8,88.72,709.76,Delivered
O0000216,2025-09-27,C01635,P0677,W04,S051,T02,37,28.11,1040.07,Delivered
O0000217,2025-12-26,C04823,P0101,W07,S074,T11,48,36.69,1761.12,Delivered
O0000218,2025-03-25,C01977,P0995,W07,S045,T09,29,41.97,1217.13,In Transit
O0000219,2025-10-03,C01047,P0266,W10,S067,T13,32,40.28,1288.96,Delivered
O0000220,2025-02-16,C03077,P0615,W07,S059,T09,15,30.01,450.15,Delivered
O0000221,2025-12-26,C02591,P0995,W02,S075,T13,32,41.97,1343.04,Delivered
O0000222,2025-06-25,C00001,P0902,W11,S015,T04,48,36.63,1758.24,Delivered
O0000223,2025-09-30,C00553,P0565,W12,S055,T10,40,33.66,1346.4,Delivered
O0000224,2025-10-11,C03111,P0818,W08,S066,T13,42,43.44,1824.48,Delivered
O0000225,2025-08-10,C04465,P0684,W10,S007,T08,10,6.88,68.8,In Transit
O0000226,2025-05-21,C03255,P0353,W09,S009,T10,36,25.15,905.4,Delivered
O0000227,2025-10-03,C02447,P0756,W12,S049,T06,1,53.11,53.11,Delivered
O0000228,2025-06-23,C04992,P0272,W09,S008,T02,19,65.99,1253.81,In Transit
O0000229,2025-08-29,C04420,P0166,W06,S061,T09,26,33.87,880.62,Delivered
O0000230,2025-08-12,C01882,P0667,W05,S060,T03,1,30.22,30.22,Delivered
O0000231,2025-06-19,C04125,P0893,W09,S040,T05,31,56.93,1764.83,Delivered
O0000232,2025-02-12,C04523,P0927,W01,S002,T04,11,29.87,328.57,Delivered
O0000233,2025-04-17,C00951,P0971,W07,S043,T12,23,37.81,869.63,Delivered
O0000234,2025-12-09,C03124,P0640,W02,S008,T07,23,41.98,965.54,Delivered
O0000235,2025-07-09,C00293,P0595,W07,S018,T02,2,17.55,35.1,Delivered
O0000236,2025-08-21,C02793,P0678,W05,S030,T06,49,54.49,2670.01,Delivered
O0000237,2025-04-05,C04584,P0373,W03,S058,T05,6,21.4,128.4,Delivered
O0000238,2025-09-15,C04495,P0452,W11,S022,T07,8,14.61,116.88,Delivered
O0000239,2025-06-27,C02811,P0899,W09,S022,T03,27,16.09,434.43,Delivered
O0000240,2025-03-21,C02939,P0193,W05,S057,T03,21,33.05,694.05,Delivered
O0000241,2025-02-23,C04263,P0585,W09,S040,T02,50,19.07,953.5,Delivered
O0000242,2025-05-25,C00021,P0690,W06,S049,T15,3,20.68,62.04,Delivered
O0000243,2025-07-26,C03450,P0944,W12,S051,T09,3,5.3,15.9,Delivered
O0000244,2025-04-13,C01579,P0891,W02,S076,T15,47,55.51,2608.97,Delivered
O0000245,2025-03-31,C03848,P0524,W02,S057,T06,30,44.93,1347.9,Delivered
O0000246,2025-04-09,C00582,P0105,W01,S018,T15,37,37.22,1377.14,In Transit
O0000247,2025-04-18,C02417,P0280,W09,S012,T06,46,23.43,1077.78,Delivered
O0000248,2025-09-27,C03796,P0991,W04,S027,T09,1,57.28,57.28,Delivered
O0000249,2025-07-02,C03667,P0067,W01,S013,T06,27,24.12,651.24,Delivered
O0000250,2025-06-21,C03693,P0406,W10,S059,T08,28,22.06,617.68,In Transit
O0000251,2025-03-01,C04594,P0155,W12,S032,T07,40,5.29,211.6,Delivered
O0000252,2025-07-18,C01808,P0652,W06,S001,T11,5,16.5,82.5,Delivered
O0000253,2025-12-18,C03547,P0328,W03,S041,T14,18,12.51,225.18,Delivered
O0000254,2025-09-30,C04058,P0848,W04,S075,T14,20,10.33,206.6,Delivered
O0000255,2025-06-13,C04659,P0771,W02,S080,T08,37,6.95,257.15,Delivered
O0000256,2025-04-23,C01103,P0363,W06,S018,T06,37,9.46,350.02,Cancelled
O0000257,2025-05-09,C01208,P0431,W06,S050,T15,43,18.2,782.6,Delivered
O0000258,2025-01-10,C02184,P0536,W11,S076,T15,8,24.0,192.0,Delivered
O0000259,2025-01-11,C04015,P0676,W01,S029,T08,8,26.24,209.92,In Transit
O0000260,2025-10-11,C04396,P0851,W08,S051,T13,43,11.13,478.59,Delivered
O0000261,2025-11-04,C02649,P0719,W03,S069,T15,26,72.66,1889.16,Delivered
O0000262,2025-12-20,C03631,P0180,W08,S024,T07,2,27.18,54.36,Delivered
O0000263,2025-08-17,C00304,P0028,W07,S003,T05,26,36.12,939.12,Delivered
O0000264,2025-12-06,C03769,P0021,W11,S013,T08,35,39.3,1375.5,In Transit
O0000265,2025-06-01,C03227,P0031,W03,S003,T08,13,9.79,127.27,Delivered
O0000266,2025-04-03,C01650,P0255,W11,S079,T03,42,18.44,774.48,Delivered
O0000267,2025-03-31,C03137,P0807,W04,S067,T13,48,17.28,829.44,Delivered
O0000268,2025-03-28,C04740,P0973,W11,S078,T14,28,30.27,847.56,Delivered
O0000269,2025-09-29,C04955,P0748,W06,S030,T09,46,47.46,2183.16,Delivered
O0000270,2025-01-04,C03211,P0643,W06,S055,T04,30,9.69,290.7,Delivered
O0000271,2025-12-12,C03250,P0675,W10,S051,T08,4,20.94,83.76,Delivered
O0000272,2025-10-10,C03282,P0457,W11,S053,T11,30,23.76,712.8,Delivered
O0000273,2025-05-19,C00654,P0254,W06,S048,T02,15,64.45,966.75,In Transit
O0000274,2025-09-14,C01729,P0317,W06,S007,T07,47,16.9,794.3,Delivered
O0000275,2025-02-19,C04956,P0241,W11,S070,T01,10,3.23,32.3,Delivered
O0000276,2025-06-07,C00321,P0942,W10,S017,T12,5,31.73,158.65,In Transit
O0000277,2025-02-09,C01575,P0018,W07,S053,T01,7,74.53,521.71,Delivered
O0000278,2025-02-10,C04511,P0097,W05,S010,T05,29,52.33,1517.57,Delivered
O0000279,2025-01-03,C03487,P0265,W09,S044,T04,50,76.84,3842.0,Delivered
O0000280,2025-10-18,C01970,P0028,W04,S025,T08,39,36.12,1408.68,Cancelled
O0000281,2025-09-29,C02992,P0983,W10,S005,T10,39,9.45,368.55,In Transit
O0000282,2025-11-22,C03798,P0803,W01,S041,T10,12,19.26,231.12,In Transit
O0000283,2025-12-25,C01778,P0448,W11,S011,T08,29,61.45,1782.05,Delivered
O0000284,2025-12-19,C04637,P0004,W01,S007,T08,45,31.94,1437.3,Delivered
O0000285,2025-12-29,C02034,P0121,W10,S025,T03,42,24.79,1041.18,In Transit
O0000286,2025-01-06,C04413,P0375,W12,S040,T10,14,28.86,404.04,Delivered
O0000287,2025-10-14,C03266,P0553,W07,S076,T08,12,105.48,1265.76,Delivered
O0000288,2025-09-21,C00233,P0228,W03,S013,T03,46,28.3,1301.8,Delivered
O0000289,2025-03-01,C04359,P0615,W08,S006,T01,42,30.01,1260.42,Delivered
O0000290,2025-02-19,C00579,P0125,W08,S023,T12,6,16.84,101.04,Delivered
O0000291,2025-12-23,C04734,P0308,W06,S006,T03,13,13.7,178.1,Delivered
O0000292,2025-11-19,C00074,P0101,W02,S073,T01,42,36.69,1540.98,Delivered
O0000293,2025-04-30,C04956,P0132,W10,S024,T07,43,31.23,1342.89,Delivered
O0000294,2025-01-28,C02351,P0872,W04,S025,T08,2,19.52,39.04,Delivered
O0000295,2025-05-02,C00584,P0508,W12,S022,T07,2,13.95,27.9,Delivered
O0000296,2025-01-02,C01046,P0256,W09,S054,T14,6,12.58,75.48,Delivered
O0000297,2025-09-08,C00940,P0809,W11,S071,T11,13,26.23,340.99,Cancelled
O0000298,2025-05-19,C02694,P0856,W10,S050,T03,10,30.13,301.3,In Transit
O0000299,2025-01-18,C01029,P0446,W11,S026,T08,1,21.83,21.83,In Transit
O0000300,2025-12-24,C03979,P0572,W07,S049,T09,31,17.65,547.15,Delivered
O0000301,2025-10-29,C04867,P0643,W12,S071,T09,23,9.69,222.87,Delivered
O0000302,2025-11-27,C01500,P0338,W02,S007,T12,24,48.71,1169.04,Delivered
O0000303,2025-12-31,C00488,P0175,W01,S041,T08,7,11.61,81.27,Delivered
O0000304,2025-01-06,C00259,P0054,W04,S002,T01,46,50.37,2317.02,Delivered
O0000305,2025-10-10,C03486,P0206,W09,S044,T11,31,7.48,231.88,In Transit
O0000306,2025-10-15,C03778,P0641,W11,S003,T01,4,65.17,260.68,Delivered
O0000307,2025-10-13,C04789,P0068,W06,S071,T07,31,16.54,512.74,Delivered
O0000308,2025-04-07,C00687,P0574,W12,S028,T13,10,94.29,942.9,Delivered
O0000309,2025-05-23,C02877,P0763,W04,S056,T05,6,12.47,74.82,Delivered
O0000310,2025-12-06,C00978,P0428,W12,S044,T14,25,25.92,648.0,Delivered
O0000311,2025-01-25,C00040,P0449,W04,S064,T13,46,21.29,979.34,Cancelled
O0000312,2025-08-22,C02142,P0135,W02,S015,T15,5,23.04,115.2,Cancelled
O0000313,2025-10-17,C00329,P0729,W08,S031,T11,12,26.32,315.84,Delivered
